HASLEMERE-GRAYSHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU912338,Long,-0.69835,Lat,51.09643,Elevation,621,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.49,5.69,2.79,4.76,2.7,2.96,0.74,6.61,7.45,4.27,6.66,3.4,3.77,4.08,7.33,2.72,,,,,,
February,,,,,,,,,,0.78,1.29,2.6,0.41,4.14,0.06,4.66,2.95,5.72,0.64,1.89,3.7,3.78,0.79,1.91,0.75,,,,,,
March,,,,,,,,,,0.07,1.13,0.57,1.89,4.67,3.03,0.56,0.93,4.73,0.32,1.36,4.1,3.72,2.54,0.79,0.16,,,,,,
April,,,,,,,,,,0.55,2.83,3.67,3.06,1.15,2.55,4.01,2.12,3.93,0.12,2.51,1.83,1.56,2.14,1.27,1.35,,,,,,
May,,,,,,,,,,3.34,2.85,3.11,3.7,2.11,0.84,1.26,0.54,2.38,1.74,2.08,0.83,3.36,3.46,3.66,0.64,,,,,,
June,,,,,,,,,2.7,1.35,0.41,1.83,1.96,1.67,1.19,3.59,3.97,1.45,0.74,1.75,0.72,2.04,0.2,1.81,2.19,,,,,,
July,,,,,,,,,1.59,1.66,2.84,3.64,3.16,2.19,1.34,0.76,4.21,0.92,2.37,4.12,2.72,2.38,1.8,2.49,2.07,,,,,,
August,,,,,,,,,2.18,2.13,4.69,4.72,0.62,1.17,3.53,2.83,0.69,0.8,1.25,2.16,0.22,5.53,3.52,1.66,1.69,,,,,,
September,,,,,,,,,1.39,0.31,3.05,2.26,2.91,3.36,2.74,5.13,2.01,1.68,2.09,0.84,1.75,0.23,2.33,1.72,2.55,,,,,,
October,,,,,,,,,7.13,4.31,1.69,0.53,6.55,2.08,1.97,4.73,1.66,3.96,4.84,6.25,4.87,0.93,3.84,3.56,4.56,,,,,,
November,,,,,,,,,3.46,8.87,6.18,4.06,1.72,1.01,3.75,7.32,4.74,2.87,5.62,6.72,9.15,4.25,1.79,1.95,5.83,,,,,,
December,,,,,,,,,3.45,8.6,3.31,0.77,1.11,0.62,9.76,4.68,4.85,4.84,4.47,2.25,2.15,2.83,5.05,2.53,3.08,,,,,,
Total,,,,,,,,,,33.46,35.96,30.55,31.85,26.87,33.72,40.27,35.28,40.73,28.47,38.59,35.44,34.38,31.54,30.68,27.59,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan Old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 May 13 New gauge substituted - Jan to May deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Marked as estimated poss for snow?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Station terminated Observer died 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
