DERBY (OSMASTON),,,,,,,,,,,,
Grid ref,SK363328,Long,-1.461911,Lat,52.891432,,,,,,,
Station no,2655/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.46,3.11,1.53,2.49,3.07,4.84,,
February,,,,,1.59,0.87,2.19,3.59,0.17,1.87,,
March,,,,,2.89,1.18,2.07,1.56,1.35,1.46,,
April,,,,,1.17,1.43,0.26,0.71,2.31,1.29,,
May,,,,,3.28,0.60,0.85,1.94,0.33,1.33,,
June,,,,,4.84,2.85,1.42,4.46,0.82,2.73,,
July,,,,,1.08,2.14,2.64,3.89,0.99,3.16,,
August,,,,,0.39,3.96,2.91,1.92,0.97,4.40,,
September,,,,,0.91,2.47,5.76,2.48,0.05,4.55,,
October,,,,,1.74,1.22,1.38,2.13,2.01,5.29,,
November,,,,3.89,1.85,0.80,2.08,1.29,2.82,3.24,,
December,,,,2.87,1.98,3.45,1.73,3.00,3.37,3.02,,
Total,,,,,24.18,24.08,24.82,29.46,18.26,37.18,,
Calc annual,0.00,0.00,0.00,6.76,24.18,24.08,24.82,29.46,18.26,37.18,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
