HEXHAM RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY931632,Long,-2.109296,Lat,54.963381,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3564/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.15,2.31,3.87,1.59,2.7,2.49,2.53,1.52,4.55,1.87,1.96,7.23,1.3,2.27,1.94,2.83,0.52,3,2.72,3.06,1.85,1.84,1.78,4.15
February,,,,,,,3.28,0.87,1.43,1.87,4.32,1.48,2.07,1.57,1.52,1.36,3.88,1.48,1.83,4.45,1.7,0.37,1,1.87,2.31,2.64,2,3.96,0.51,2
March,,,,,,,2.46,0.67,3.3,2.76,2.85,1.16,1.16,0.39,0.61,1.57,4.37,1.26,0.66,0.8,2.81,0.71,0.17,0.82,1.36,1.18,1.67,2.32,0.79,2.41
April,,,,,,,2.22,0.36,1.06,1.48,1.41,0.95,1.48,1.41,1.91,0.85,3.96,2.1,1.37,2.01,1.85,1.42,1.63,0.64,0.4,1.01,0.51,1.46,2.03,1.05
May,,,,,,,2.48,2.19,1.43,1.8,1.81,0.81,2.95,1.92,3.19,2.11,1.62,0.81,0.48,1.78,2.11,1.47,1.24,3.89,1.83,0.62,1.43,3.47,0.38,1.62
June,,,,,,,0.62,3.21,2.17,0.47,0.31,1.2,1.83,2.93,2.16,2.11,2.64,3.18,0.7,1.66,0.94,1.71,1.01,1.85,1.84,3.4,1.04,2.77,3.45,0.54
July,,,,,,,2.49,1.83,2.93,6.84,1.98,1.99,1.65,2.58,1.23,3.68,4.68,2.25,2.01,2.83,1.28,1.63,1.69,2.1,1.52,2.76,4.48,4.35,1.4,4.08
August,,,,,,,2.01,1.71,3.33,0.96,3.39,2.41,4.01,1.31,1.13,3.36,0.25,4.72,2.07,4.25,3.75,1.35,3.91,4.42,1.01,7.37,3.55,4.51,0.33,3
September,,,,,,,1.52,1.51,0.9,1.93,0.26,2.16,2.81,5.98,1.3,3.15,1.03,2.49,2.22,3.17,0.95,2.06,1.82,3.98,1.35,2.77,3.29,2.49,0.79,1.46
October,,,,,,,2.1,4.68,4.51,2.68,3.9,2.88,3.24,2.33,3.25,0.69,0.76,1.5,3.33,1.49,0.66,1.83,0.89,5.23,1.69,1.98,2.24,1.6,2.18,5.98
November,,,,,,,0.71,3.16,3.6,2.68,2.62,0.47,2.64,6.18,0.5,3.39,2.81,1.44,2.73,3.79,5.82,1.96,1.14,3.03,1.02,0.73,1.48,0.56,4.25,2.99
December,,,,,,,3.54,2.95,1.26,2.28,0.74,2,0.89,2.27,0.99,1.64,2.07,1.99,4.14,1.51,2.2,2.39,0.88,2.99,3.73,2.17,1.84,3.6,4.25,2.29
Total,,,,,,,26.58,25.45,29.79,27.34,26.29,20,27.26,30.39,22.34,25.78,30.03,30.45,22.84,30.01,26.01,19.73,15.9,33.82,20.78,29.69,25.38,32.93,22.14,31.57
