"HEXHAM RESERVOIR",,,,,,,,,,,,
Grid ref,NY931632,Long,-2.109296,Lat,54.963381,,,,,,,
Station no,3564/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.94,2.83,0.52,3.00,2.72,3.06,1.85,1.84,1.78,4.15,,
February,1.70,0.37,1.00,1.87,2.31,2.64,2.00,3.96,0.51,2.00,,
March,2.81,0.71,0.17,0.82,1.36,1.18,1.67,2.32,0.79,2.41,,
April,1.85,1.42,1.63,0.64,0.40,1.01,0.51,1.46,2.03,1.05,,
May,2.11,1.47,1.24,3.89,1.83,0.62,1.43,3.47,0.38,1.62,,
June,0.94,1.71,1.01,1.85,1.84,3.40,1.04,2.77,3.45,0.54,,
July,1.28,1.63,1.69,2.10,1.52,2.76,4.48,4.35,1.40,4.08,,
August,3.75,1.35,3.91,4.42,1.01,7.37,3.55,4.51,0.33,3.00,,
September,0.95,2.06,1.82,3.98,1.35,2.77,3.29,2.49,0.79,1.46,,
October,0.66,1.83,0.89,5.23,1.69,1.98,2.24,1.60,2.18,5.98,,
November,5.82,1.96,1.14,3.03,1.02,0.73,1.48,0.56,4.25,2.99,,
December,2.20,2.39,0.88,2.99,3.73,2.17,1.84,3.60,4.25,2.29,,
Total,26.01,19.73,15.90,33.82,20.78,29.69,25.38,32.93,22.14,31.57,,
Calc annual,26.01,19.73,15.90,33.82,20.78,29.69,25.38,32.93,22.14,31.57,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
