WROOT SOUTH LEVEL PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE732017,Long,-0.898,Lat,53.507,Elevation,7,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.38,1.45,2.72,1.99,0.61,1.64,1.93,1.15,,,,3.27,,,,,,,,,,,,,,,,,2.66,2.14,0.91,1.68,0.33,2.00,1.36,2.94,2.19,1.35,2.19,1.44,1.48,1.34,1.98,1.46,3.47,1.50,2.48,1.69,0.72,1.74,1.27,1.25,3.40,3.56,1.43,4.03,1.03,1.45,1.31,3.21,2.35,1.53,,1.87,3.88,0.90,1.07,1.49,1.57,0.49,1.01,1.38,3.40,1.22,1.87,1.75,4.43
February,1.02,1.92,0.31,0.40,1.04,0.92,0.98,0.12,,,,0.33,,,,,,,,,,,,,,,,,0.86,0.45,0.46,1.79,2.62,0.58,1.30,1.74,1.72,0.21,2.57,3.56,0.73,2.26,1.11,1.27,1.63,0.45,0.49,2.08,0.50,1.88,0.39,2.58,2.37,2.09,1.20,0.93,1.89,2.53,0.52,0.94,1.92,1.53,,1.25,1.19,0.58,3.16,2.52,0.41,1.36,1.85,1.51,1.07,1.44,2.79,0.15,1.74
March,1.19,1.08,2.04,1.15,2.02,3.12,1.76,1.33,,,,1.75,,,,,,,,,,,,,,,,,1.92,1.65,1.45,0.79,2.84,0.80,0.64,2.39,2.29,0.45,1.48,1.67,0.76,0.58,0.47,1.08,1.55,0.11,2.04,0.15,1.15,2.56,1.90,0.57,1.08,2.46,0.27,1.84,1.54,2.56,2.51,0.58,0.46,0.57,,3.85,0.44,1.28,0.81,2.61,1.89,0.53,1.46,2.22,0.85,1.43,1.64,0.69,1.04
April,1.02,1.47,1.78,0.98,1.27,2.40,0.50,1.30,,,,1.38,,,,,,,,,,,,,,,,,0.11,1.72,0.50,0.63,0.74,1.46,0.87,1.38,3.54,1.11,2.25,1.01,1.05,1.89,1.56,1.55,0.66,0.75,2.10,2.80,1.66,0.64,2.50,1.96,1.26,3.44,0.07,1.18,1.76,1.12,0.69,0.97,2.37,1.56,,1.74,0.90,1.71,3.40,0.62,0.57,1.53,0.18,1.00,1.53,0.14,0.32,1.90,0.69
May,0.65,1.58,4.37,1.53,0.52,3.42,2.37,2.87,,,,0.61,,,,,,,,,,,,,,,,,2.39,1.89,1.36,1.09,2.14,1.51,2.27,1.04,1.80,1.20,0.98,3.12,2.62,3.67,2.14,1.01,1.63,0.87,1.42,2.29,6.44,2.03,0.85,0.40,0.99,3.80,3.34,1.37,0.36,1.65,3.01,2.39,2.31,1.49,1.46,1.17,1.34,1.53,2.01,3.79,1.04,1.23,2.82,2.61,0.47,1.18,1.72,0.41,0.59
June,0.69,3.15,0.87,0.22,2.23,0.46,3.02,1.48,,,,2.28,,,,,,,,,,,,,,,,,3.70,0.73,1.20,0.64,1.25,1.06,0.60,1.24,1.55,0.22,1.07,1.25,1.29,0.07,4.06,2.25,2.16,0.74,1.22,4.55,0.48,2.75,1.14,3.89,3.81,3.06,2.06,2.10,1.17,0.49,1.63,1.72,2.03,2.45,1.98,2.18,2.48,0.59,1.25,0.94,2.05,1.28,1.56,2.69,3.54,1.98,4.85,0.82,0.54
July,2.81,0.58,2.31,1.30,6.02,1.35,2.36,2.74,,,,4.54,,,,,,,,,,,,,,,,,3.81,0.44,3.03,3.74,1.07,1.01,3.72,2.00,3.80,0.60,3.53,3.18,2.07,1.06,1.10,1.74,0.62,1.42,4.32,3.54,2.70,1.38,1.68,0.55,6.48,2.81,3.54,2.11,5.10,3.23,1.28,1.52,1.89,1.70,2.69,1.75,1.07,3.21,1.97,0.96,1.46,1.97,1.96,0.62,3.65,4.43,6.14,1.23,2.90
August,1.16,1.41,1.86,1.99,2.08,3.28,2.74,3.31,,,,1.57,,,,,,,,,,,,,,,,,4.15,0.72,2.34,2.69,1.62,4.35,2.34,2.07,0.96,3.81,3.02,2.02,3.12,2.35,2.36,3.76,2.36,1.89,2.70,4.20,1.47,0.36,1.12,1.78,2.08,0.19,2.51,3.38,0.63,2.69,2.38,2.18,4.62,2.43,4.77,0.37,2.87,1.70,2.24,4.56,0.93,2.51,5.34,0.46,4.81,3.14,2.79,0.48,2.33
September,1.02,1.87,1.05,1.59,1.24,1.50,1.29,1.15,,,,0.93,,,,,,,,,,,,,,,,,1.08,2.73,0.78,0.81,1.15,0.80,4.10,1.30,1.74,0.58,2.06,2.14,2.19,2.55,0.91,3.76,0.16,1.08,3.22,2.36,1.20,1.87,1.43,3.47,2.00,0.71,1.64,0.82,0.54,0.39,1.45,2.87,4.98,0.89,2.97,1.10,2.20,0.66,2.88,1.40,2.25,0.93,1.55,0.98,1.70,3.51,1.51,0.02,2.16
October,0.85,3.64,3.50,1.82,0.81,3.12,0.87,3.19,,,,2.55,,,,,,,,,,,,,,,,,2.07,2.43,1.71,0.94,1.36,2.45,0.96,2.39,1.73,1.26,0.84,1.18,3.44,2.07,1.98,1.21,3.87,2.92,1.98,0.57,3.09,4.72,1.25,3.17,1.95,2.92,2.37,3.03,3.85,2.59,1.74,1.60,2.62,,,1.08,1.58,2.50,0.74,1.20,2.21,1.86,3.21,1.52,1.12,1.25,1.55,1.93,4.69
