MOOR HOUSE (MINE ROAD END),,,,,,,,,,,,
Grid ref,NY765328,Long,-2.366069,Lat,54.689690,,,,,,,
Station no,3730/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.95,7.42,6.01,6.30,9.48,6.58,4.82,8.25,,
February,,,5.33,4.00,5.50,4.59,5.71,8.66,2.38,6.44,,
March,,,2.03,6.32,2.67,4.08,5.77,2.13,3.72,3.21,,
April,,,6.64,1.46,3.50,2.62,1.15,4.13,7.90,5.33,,
May,,,2.77,7.63,6.98,3.86,4.30,6.20,1.27,2.70,,
June,,,5.38,6.84,4.16,3.75,2.33,3.70,3.88,3.23,,
July,,,8.34,6.19,3.57,6.59,7.77,5.58,6.13,7.24,,
August,,,5.05,8.15,1.84,12.75,11.52,4.88,1.24,4.19,,
September,,,8.08,10.81,4.85,6.44,6.38,7.03,1.76,4.05,,
October,,,3.51,14.20,4.76,5.05,7.46,7.34,7.30,8.74,,
November,,,8.95,11.78,3.57,3.57,4.23,1.60,8.94,11.70,,
December,,,3.93,11.90,11.48,9.50,8.51,5.81,12.39,6.63,,
Total,,,63.96,96.70,58.89,69.20,74.61,63.64,61.73,71.71,,
Calc annual,0.00,0.00,63.96,96.70,58.89,69.10,74.61,63.64,61.73,71.71,,
Difference,NaN,NaN,0.00,0.00,0.00,0.10,-0.00,-0.00,0.00,0.00,,
