MOOR HOUSE (BURNT HILL WEIR),,,,,,,,,,,,
Grid ref,NY751331,Long,-2.387812,Lat,54.692318,,,,,,,
Station no,3729/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,2.70,7.70,6.40,6.12,8.79,6.42,4.81,8.14,,
February,,,5.59,4.00,5.66,4.28,6.38,9.39,2.79,6.85,,
March,,,1.65,6.61,2.88,3.57,5.71,2.55,3.80,3.40,,
April,,,7.08,1.67,3.86,2.60,1.55,4.24,8.53,5.07,,
May,,,2.87,7.23,7.41,3.96,4.64,6.19,1.43,2.60,,
June,,,5.13,7.42,4.35,3.66,2.07,4.59,3.91,3.12,,
July,,,9.85,6.75,3.57,6.65,8.38,6.00,5.94,7.51,,
August,,,4.89,8.96,1.91,13.78,10.83,5.67,1.38,4.37,,
September,,,8.23,11.19,5.13,6.94,7.15,7.75,1.88,3.33,,
October,,,3.53,14.90,5.08,5.21,7.68,8.06,7.73,9.13,,
November,,,9.76,12.69,3.67,3.61,4.40,1.72,9.06,11.89,,
December,,,4.21,12.48,11.71,9.68,7.96,6.41,12.21,7.00,,
Total,,,65.49,101.60,61.63,70.06,75.54,68.99,63.47,72.41,,
Calc annual,0.00,0.00,65.49,101.60,61.63,70.06,75.54,68.99,63.47,72.41,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
