MOORHOUSE (DUFTON),,,,,,,,,,
Grid ref,NY758328,Long,-2.376928,Lat,54.689656,Elevation,1840,ft,,
Station no,3730,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.82,7.75,6.55,5.59,10.47,6.16,4.69,8.38
February,,,3.58,3.95,5.82,4.96,8.94,10.78,2.87,7.41
March,,,1.74,6.54,2.61,3.89,5.94,4.29,3.78,2.71
April,,,7.44,1.76,3.94,2.19,1.51,2.76,8.46,4.96
May,,2.35,3.52,6.8,8.17,3.91,3.86,6.39,1.35,2.51
June,,4.89,4.03,7.4,4.26,3.77,2.13,4.39,4.05,3.02
July,,5.29,8.61,6.52,3.6,6.97,8.08,6.1,5.75,7.93
August,,10.86,7.31,8.89,2.05,13.01,10.35,5.37,1.38,4.29
September,,7.47,7.77,11.73,4.82,6.71,6.66,7.53,1.83,3.27
October,,7.25,2.71,14.83,4.9,5.52,8.12,7.63,7.83,8.43
November,,4.73,8.9,13.72,3.76,3.28,3.82,1.83,8.73,12.29
December,,8.43,4.22,12.95,11.47,10.81,9.05,6.75,12.57,7.52
Total,,,63.65,102.84,61.95,70.61,78.93,69.98,63.29,72.72
