MOOR HOUSE (LONG HILL),,,,,,,,,,
Grid ref,NY768317,Long,-2.361328,Lat,54.679818,Elevation,1800,ft,,
Station no,3730/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.55,6.49,5.39,6.93
February,,,,,,,6.25,10.13,2.1,5.97
March,,,,,,,5.25,2.47,3.35,3.09
April,,,,,,,1.33,3.46,6.65,4.15
May,,,,,,,4.39,4.9,1.03,2.33
June,,,,,,,1.95,4.18,3.54,2.95
July,,,,,,,7.65,5.47,5.35,7.26
August,,,,,,,10.4,5.1,1.09,4.29
September,,,,,,,6.45,4.95,1.69,3.38
October,,,,,,,6.81,7.45,7.02,8.7
November,,,,,,,3.69,1.55,8.15,10.66
December,,,,,,,7.67,6.2,11.23,7.03
Total,,,,,,,70.39,62.35,56.59,66.74
