"GREYSTONES KNOCKDOLIAN",,,,,,,,,,,,
Grid ref,IO2907712484,Long,-6.071278,Lat,53.147472,,,,,,,
Station no,RR4111,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,4.04,1.86,3.56,2.67,1.00,4.07,0.39,1.96,0.90,,
February,6.67,1.38,2.59,2.87,2.96,0.65,1.84,1.28,0.89,0.74,,
March,1.32,1.84,1.66,5.05,2.41,4.01,1.76,1.31,3.13,4.27,,
April,1.43,2.81,3.11,1.16,0.93,2.83,1.92,2.61,2.03,3.92,,
May,3.19,1.15,2.53,3.27,2.99,1.12,2.25,4.92,1.71,2.16,,
June,1.81,2.46,3.41,1.79,2.28,1.50,0.87,3.47,1.71,3.35,,
July,5.14,2.39,4.55,2.79,1.40,1.93,1.09,2.53,2.50,2.50,,
August,6.00,3.62,3.52,2.87,2.87,8.01,1.77,1.95,4.12,0.82,,
September,0.69,5.42,4.00,3.95,2.88,1.06,0.34,0.90,3.60,1.53,,
October,3.29,2.93,4.65,3.91,0.63,0.64,5.20,5.66,2.00,4.63,,
November,6.62,3.39,5.29,2.11,1.49,4.76,1.63,2.90,1.70,1.92,,
December,2.79,3.33,2.92,2.83,1.89,1.41,1.86,2.76,3.31,6.26,,
Total,42.72,34.76,40.09,36.16,25.40,28.92,24.60,30.68,28.66,33.00,,
Calc annual,42.72,34.76,40.09,36.16,25.40,28.92,24.60,30.68,28.66,33.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
