"LANCASTER, THE FRIENDS' SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD472616,Long,-2.8078948,Lat,54.047647,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,9.02,1.62,5.88,4.2,4.37,3.23,4.18,1.46,,3.07,,,,,,,,,,,,,
February,,,,,,,,1.96,4.61,0.74,0.23,3.01,0.06,3,0.15,5.42,,5.17,1.43,,,,1.65,2.06,,,,,,,
March,,,,,,,,3.28,3.11,0.98,2.9,0.53,2.62,2,1.47,1.53,,1.6,0.62,,,,2.14,0.93,,,,,,,
April,,,,,,,,1.68,1.14,1.33,1.61,1.77,2.84,1.79,2.73,2.83,,,,,,,,,,,,,,,
May,,,,,,,,2.13,0.63,1.95,1.12,1.75,5.08,2.81,4.05,1.45,,1.95,3.17,,,,,3.37,,,,,,,
June,,,,,,,,3.03,6.8,1.55,2.17,6.24,1.69,1.46,2.25,3.38,,1.77,4.24,,,,,2.51,,,,,,,
July,,,,,,,,,4.72,3.74,3.71,5.54,5.87,3.98,1.77,2.03,,2.67,,,,,,5.7,,,,,,,
August,,,,,,,,,5.86,5.85,6.3,3.09,1.51,2.73,3.81,2.97,,,,,,,,,,,,,,,
September,,,,,,,,3.32,2.49,2.67,2.1,3.19,5.07,0.87,3.76,7.45,,,,,,,,,,,,,,,
October,,,,,,,,3.43,5.26,5.6,6.97,3.39,5.37,5,6.33,5.44,,1.85,7.66,,,,,,,,,,,,
November,,,,,,,,3.24,6.24,7.11,4.96,6.65,2.89,1.58,1.43,4.19,4.01,1.56,5.44,,,,,,,,,,,,
December,,,,,,,,1.02,3.18,6.55,3.75,3.63,2.48,0.68,5.27,2.59,,2.7,,,,,,,,,,,,,
Total,,,,,,,,,53.06,39.69,41.7,42.99,39.85,29.13,37.2,40.74,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938 Jan, Apr, July, Aug, Sept, Dec, Total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943 Jan, Apr, Aug, Sept, Nov, Dec, Total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
