BRENT-KNOLL-STATION-ROAD,,,,,,,,,,
Grid ref,ST327514,Long,-2.96579,Lat,51.25803 ,Elevation,15,ft,,
Station no,2025/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.05,3.27,3,3.11,1.5,,2.88
February,,,,2.82,2.1,0.19,3.21,3,,2.32
March,,,0.65,2.74,1.07,0.79,2.1,0.88,,1.58
April,,,2.95,0.44,1.66,1.1,0.04,0.65,,2.32
May,,,1.3,1.64,3.81,0.63,1.42,2.4,,1.43
June,,,2.71,3.25,3.6,1.55,1.98,3.69,,1.38
July,,,4.6,3.13,0.4,2.45,3.17,3.09,,7.24
August,,,3.12,1.97,0.51,3.73,2.9,3.31,,3.65
September,,,3.54,4.21,3.22,3.92,3.35,4.42,,3.73
October,,,2.5,3.3,1.59,1.67,2.83,2.9,,9.78
November,,,2,5.16,3.56,0.58,2.39,2.8,,4.17
December,,,0.9,2.84,4.23,3.55,2.13,4.52,,3.64
Total,,,,33.55,29.02,23.16,28.63,33.16,,44.12
,,,,,,,,,,
1959 No return,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Brent Knoll SRC_ID 9380,,,,,,,,,,
1953-1976,,,,,,,,,,
