BAKEWELL-ASHFORD-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK206691,Long,-1.6929491,Lat,53.218559,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2672/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.59,2.92,3.18,3.16,5.41,4.32,2.69,4.11,2.96,8.23,1.81,1.33,3.36,4.27,1.13,,,,,,,
February,,,,,,,,,2.14,2.27,3.41,1.25,2.49,1.85,3.37,5.96,1.37,2.39,1.85,6.14,4.17,1.22,1.91,,,,,,,
March,,,,,,,,,2.47,2.1,4.38,2.12,1.11,0.48,0.85,1.3,5.69,1.42,1.36,1.28,5.09,2.34,2.16,,,,,,,
April,,,,,,,,,1.94,2.52,1.8,1.9,2.03,2.63,2.12,1.37,3.12,2.05,2.9,3.51,2.31,3.02,,,,,,,,
May,,,,,,,,,1.36,1.16,2.97,5.23,3.33,2.06,3.78,1.29,2.67,2.04,1.78,1.47,2.01,2.76,,,,,,,,
June,,,,,,,,,1.79,1.05,0.74,1.02,2.59,2.22,3.94,3.73,1.98,4.56,1.18,1.62,1.65,2.23,,,,,,,,
July,,,,,,,,,5.57,2.98,5.14,2.79,1.88,3.81,1.51,3.13,2.24,1.43,1.84,2.13,1.17,2.78,,,,,,,,
August,,,,,,,,,2.31,0.98,4.2,2.45,2.34,2.68,3.4,4.53,0.7,4.99,1.82,4.07,4.22,2.32,,,,,,,,
September,,,,,,,,,1.27,2.26,0.46,2.11,3.7,4.85,1.59,4.48,1.37,2.15,1.3,4.08,2.09,2.59,,,,,,,,
October,,,,,,,,5.09,3.89,4.05,4.03,3.34,2.23,4.53,6.53,0.67,0.55,1.9,3.94,1.65,0.73,4.58,,,,,,,,
November,,,,,,,,4.72,5.69,7.67,4.03,0.93,3.46,7.22,0.38,7.3,3.98,1.67,4.62,4.77,8.81,2.65,,,,,,,,
December,,,,,,,,4.49,2.07,3.61,1.65,3.06,1.52,3.19,2.44,4.31,3.73,4.66,4.6,2.55,4.18,3.58,,,,,,,,
Total,,,,,,,,,37.09,33.57,35.99,29.36,32.09,39.84,32.6,42.18,30.36,37.49,29,34.6,39.79,34.34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Ashford Road at stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
