SANDOWN-SANDHAM-GDNS-(OCEAN-HOTEL),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ600842,Long,-1.1526,Lat,50.6545,Elevation,15,ft,,,,,,,,,,,,
Station no,598,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.15,1.38,1.24,2.74,1.68,4.48,5.48,0.83,,,,,
February,,,,,,,,1.48,1.39,0.5,4.22,1.73,2.63,1.25,5.21,,,,,
March,,,,,,,,0.64,2.71,3.93,1.59,1.95,4.55,3.02,,,,,,
April,,,,,,,,3.89,2.38,1.37,1.69,1.43,0.05,2.94,,,,,,
May,,,,,,,,2.54,1.84,1.75,1.52,1.2,1.12,2.55,,,,,,
June,,,,,,,,1.75,0.7,2.98,2.42,1.77,3.78,0.78,,,,,,
July,,,,,,,,1.37,1.61,2.21,2.74,1.03,1.81,1.24,,,,,,
August,,,,,,,,1.26,2.7,2.78,2.74,1.04,6.48,1.52,,,,,,
September,,,,,,,,0.97,2.31,4.28,0.25,1.16,2.53,2.95,,,,,,
October,,,,,,,,6.15,1.59,8.67,6.97,5.73,3.84,4.29,,,,,,
November,,,,,,,,2.69,1.17,1.35,4.96,6.5,2.99,3.56,,,,,,
December,,,,,,,,3.47,4.01,4.66,4.59,7.51,4,2.61,,,,,,
Total,,,,,,,,27.36,23.79,35.72,36.43,32.73,38.26,32.19,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Given elevation 15ft low, but as this was right by coast, ground might have been built up over the years for sea defenses",,,,,,,,,,,,,,,,,,,,
