CASTLE-CARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST641319,Long,-2.51319,Lat,51.08598,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2079/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.83,2.93,4.26,6.19,,,2.7,3.08,5.39,0.59,0.37,3.12,2.25,0.96,1.67,3.14,3.35,2.67,2.37,4.13,3.47
February,,,,,,,,,,2.85,3.18,0.27,1.38,,,2.33,1.26,1.45,1.22,5.7,4.43,0.98,1.83,2.76,1.74,0.23,3.25,3.36,0.33,2.6
March,,,,,,,,,,2.2,2.69,2.13,0.96,,,0.84,6.19,1.13,1.78,1.24,3.55,4.46,0.76,3.98,1.22,0.87,1.84,1.13,4.19,1.47
April,,,,,,,,,,2.03,1.45,1.3,0.91,,,3.36,1.96,1.59,1.7,3.25,3.68,2.1,2.94,0.23,1.57,1.1,0.16,1.02,2.09,2.1
May,,,,,,,,,,2.47,1.44,6.03,2,,,4.65,2.53,3.85,2.53,1.67,2.99,3.3,1.95,1.95,4.01,0.61,1.62,2.46,1.28,1.7
June,,,,,,,,,,0.48,2.05,0.33,2.22,,,3.64,2.18,2.6,0.52,3.01,1.38,2.01,2.58,3.7,2.31,2.11,2.45,4.05,0.71,1.64
July,,,,,,,,,,3.06,1.58,2.73,2.71,,,1.35,1.85,1.92,1.6,5.16,2.14,0.85,3.98,3.23,1.68,2.58,3.61,2.42,1.8,4.76
August,,,,,,,,,,0.24,4.97,4.6,4.01,,,5.53,0.84,3.38,1.58,4.45,5.91,6.29,3.57,5.21,1.17,4.32,3.36,3.32,1,7.97
September,,,,,,,,,,,0.83,2.03,2.62,,,4.69,1.49,1.96,2.4,4.33,3.19,3.32,3.19,3.2,1.11,4.24,3.96,5.45,0.23,3.98
October,,,,,,,,,,,1.3,3.09,3.72,,,1.14,0.6,3.52,7.61,1.57,0.98,3.58,2.11,3.59,2.15,2.93,2.86,2.61,3.56,7.76
November,,,,,,,,,,7.68,2.09,1.61,2.32,,,5.19,1.81,1.82,3.43,6.15,8.69,3.99,1.64,5.25,2.87,0.86,2.03,2.57,3.87,3.77
December,,,,,,,,,,,1.84,4.28,2.33,,,3.39,3.47,4.08,1.88,2.22,2.81,3.1,0.76,3.38,4.51,3.55,3.34,3.47,7.08,3.35
Total,,,,,,,,,,,26.35,32.66,31.37,,,38.81,27.26,32.69,26.84,39.12,42.87,36.23,26.27,38.15,27.48,26.75,31.15,34.23,30.27,44.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
