CRICKHOWELL-FFORDLAS-FAWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO267238,Long,-3.0669313,Lat,51.907893,Elevation,1170,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,6,1.4,3.2,1.6,6.7,4.8,4.5,1.9,5.1,6.4,2.1,7.8,2.7,2.2,2.7,5.1,1.2,,6.93,2.74,4.75,3.31,0.21,,
February,,,,,,0.2,1.4,3.5,3.1,5.2,5.1,1.6,2.4,4,7.3,1.6,3.9,2.4,2.4,1.4,6.6,2.39,3.14,3.04,6.75,6.47,-999,1.12,,
March,,,,,,3.9,3.95,6.5,1.2,1.6,1.8,4.3,2.4,7.5,3.4,5.5,3.2,2.1,4.5,5.1,1.5,2.08,,6.41,7.26,1.32,-999,0.41,,
April,,,,,,2.7,1.3,4.6,3.8,5,2.1,4.5,3.5,3.5,2.4,5.8,1.7,5.7,4.7,3.8,3.5,1.75,0.44,6.95,1.9,1.25,-999,0.74,,
May,,,,,,0.8,1.5,2.5,5.2,3.9,2.7,1.4,3.5,6.1,3.6,0.4,3.7,4.6,2.1,1.5,2.8,,2.2,5.01,2.78,2.93,2.77,1.83,,
June,,,,,,2,4.7,3.2,2.1,2,1,2.6,3.2,3.7,1.3,7,2.4,5,1.6,3.7,8.5,,4.6,1.95,2.38,1.56,1.69,1.51,,
July,,,,,,4.25,1.5,1.9,1.5,1,3.7,2.7,2,3.5,3.5,0.8,1.3,3.6,4.2,3.7,2.9,0.79,,0.47,4.45,4.51,1.49,2.15,,
August,,,,,,4,2,8.1,3.9,1.7,5,5.1,3.4,7,3.2,5,2.3,3.4,6.5,2,5,1.58,10.71,2.58,2.04,2.61,1.64,8.4,,
September,,,,,3.5,1.9,8.6,4,1,6.1,1.4,3.2,3.1,4.2,4.1,2.7,1.5,1.2,3.5,4.5,1,1.92,1.59,4.4,1.54,0.83,1.4,2.54,,
October,,,,,6.2,3.5,5.4,2.9,8.1,3,8.1,2.6,4.2,11.8,1.3,3.7,6.7,10.1,2.8,8,4.5,2.96,4.94,8.22,4.91,4.83,4.95,5.17,,
November,,,,,7.3,9.5,1.2,3.5,4.5,3.5,5.6,1.7,5.8,3,2.7,3.9,5.5,3.2,2.5,1.9,5.1,4.68,3.05,5.04,7.14,3.8,3.41,1.77,,
December,,,,,4.2,5.5,8.2,9.2,6,5,8.7,7,3,3.6,3.8,1.3,3.7,6,4.2,8.9,5,,6.61,2.13,9.37,9.2,3.59,1.1,,
Total,,,,,,44.25,41.15,53.1,42,44.7,50,41.2,38.4,63,43,39.8,43.7,50,41.2,47.2,51.5,,,53.13,53.26,44.06,34.66,26.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Fford las Fawr. Altitudes match. Not convinced this is right. Llangorse village and district (name use on 2 of the records) is 13km away; Crickhowell is closer at 6km.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
