DUNDEE WESTGREEN HOUSE,,,,,,,,,,,,
Grid ref,NO342328,Long,-3.069980,Lat,56.482690,,,,,,,
Station no,RR8828,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.48,2.68,1.79,3.46,,,,,,,,
February,2.39,1.41,1.04,3.86,,,,,,,,
March,3.00,1.80,1.21,2.42,,,,,,,,
April,1.35,2.37,1.98,1.78,,,,,,,,
May,2.05,1.95,2.03,1.07,,,,,,,,
June,2.00,2.48,1.51,0.90,,,,,,,,
July,2.82,0.83,3.21,6.84,,,,,,,,
August,5.32,3.49,3.32,4.25,,,,,,,,
September,2.19,2.51,1.70,3.32,,,,,,,,
October,4.13,2.23,1.65,5.51,,,,,,,,
November,5.23,1.74,2.22,0.58,,,,,,,,
December,3.25,3.87,5.50,3.01,,,,,,,,
Total,39.21,27.36,27.16,37.00,,,,,,,,
Calc annual,39.21,27.36,27.16,37.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
