DUNDEE WESTGREEN HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO342328,Long,-3.06998,Lat,56.48269,Elevation,216,ft,,,,,,,,,,,,
Station no,RR8828,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.51,0.59,1.52,1.46,2.51,2.9,0.75,1.52,0.79,3.95,5.48,2.68,1.79,3.46,,,,,,
February,1.5,0.22,2.01,3.35,4.63,0.95,0.69,1.2,0.86,2.41,2.39,1.41,1.04,3.86,,,,,,
March,2.14,2.31,0.74,0.65,0.7,2.49,1.43,5.12,0.47,1.45,3,1.8,1.21,2.42,,,,,,
April,0.65,1.52,0.5,1.17,1.54,1.08,0.83,1.15,4.89,3.51,1.35,2.37,1.98,1.78,,,,,,
May,1.39,1.63,3.43,0.93,2.44,0.75,0.74,1.66,1.41,4.49,2.05,1.95,2.03,1.07,,,,,,
June,3.88,1.27,2.76,2.22,2.24,1.41,2.78,5.13,1.38,1.72,2,2.48,1.51,0.9,,,,,,
July,2.22,2.73,1.62,2.78,4.68,4.63,3.64,1.36,0.8,2.2,2.82,0.83,3.21,6.84,,,,,,
August,1.83,3.39,5.18,2.96,3,4.82,2.43,5.26,3.14,0.61,5.32,3.49,3.32,4.25,,,,,,
September,3.78,4,1.24,1.15,0.54,1.09,3.94,1.17,1.9,1.95,2.19,2.51,1.7,3.32,,,,,,
October,2.15,2.47,3.94,2.91,3.99,1.5,3.09,2.2,6.11,2.99,4.13,2.23,1.65,5.51,,,,,,
November,4.82,3.61,2.13,1.21,1.47,2.32,1.34,2.29,4.65,2.98,5.23,1.74,2.22,0.58,,,,,,
December,2.36,3.2,0.77,2.06,1.76,3.8,5.2,3.89,1.99,3.25,3.25,3.87,5.5,3.01,,,,,,
Total,29.23,26.94,25.84,22.85,29.5,27.74,26.86,31.95,28.39,31.51,39.21,27.36,27.16,37,,,,,,
,,,,,,,,,,,,,,,,,,,,
1889 OND read weekly ,,,,,,,,,,,,,,,,,,,,
"month not exact, not used",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8828,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
