ODIHAM-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU739521,Long,-0.942234,Lat,51.2633,Elevation,239,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,752/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.92,2.11,2.24,0.64,4.73,6.04,2.94,4.87,2.96,2.25,3.31,5.34,1.87,1.02,2.41,2.37,5.08,0.92,0.54,3.83,2.21,0.75,,2.18,3.56,2.1,2.72,3,3.32
February,,0.08,5.01,0.08,3.26,2.46,4.88,0.43,1.26,2.04,2.5,0.53,1.21,0.84,2.15,2.13,1.31,1.14,1.34,4.87,5.52,0.73,1.13,2.52,1.13,0.12,3.1,2.56,0.24,2.65
March,,1.66,3.25,2.74,0.47,1.87,4.39,0.17,1.16,3.06,3.81,2.04,0.42,0.07,0.6,1.1,5.34,0.9,1.37,0.97,4.37,2,0.58,,0.63,0.64,1.01,1.28,3.38,1.3
April,,2.7,1,1.81,3.43,1.79,1.96,0.04,2.1,1.24,1.21,2.26,0.96,1.15,0.97,1.74,2.48,1.91,2.11,2.71,2.86,1.64,2.19,0.35,0.32,0.85,0.3,0.81,2.29,0.64
May,,4.98,2.02,0.65,0.84,0.8,3.5,1.27,1.13,1.11,1.65,3.13,2.91,0.33,1.79,2.96,1.28,3.42,2.28,1.31,2.69,2.98,2,3.91,3.24,0.04,1.26,1.85,1.17,1.56
June,,1.24,2.15,1.13,3.29,3.51,1.29,0.71,1.15,0.71,1.68,0.4,0.8,2.06,2.26,2.73,1.42,1.89,1.04,1.06,1.03,1.58,1.57,,3.05,1.54,0.8,3.11,0.83,1.16
July,,1.93,1.71,2.64,1.29,3.81,0.97,2.17,3.68,2.19,4.69,1.46,1.76,1.73,3.39,2,1.67,0.85,1.34,4.74,1.56,0.59,2.32,2.14,1.71,4.62,3.77,1.65,2.71,2.68
August,,1.89,0.59,2.37,3.16,0.76,1.09,1.13,1.87,0.12,4.45,2.12,2.23,1.19,1.55,3.76,0.49,2.71,1.53,3.87,4.46,3.15,1.87,,0.69,3.41,2.06,4.39,2.01,4.5
September,,2.47,4.82,1.35,4.07,3.24,2.04,0.96,0.71,2.66,0.11,1.25,1.15,2.27,2.25,4.44,0.84,2.2,0.97,3.12,3.48,4.03,1.29,2.18,1.67,4.39,2.75,3.76,0.07,3.28
October,,4.33,2,1.3,4.7,1.91,3.34,2.99,5.75,3.68,1.33,2.99,3.96,4.51,3.98,1.01,0.68,2.02,6.97,0.39,1.07,2.99,3.8,,4.6,2.87,2.1,2.72,2.46,8.56
November,3.61,1.4,0.6,2.14,5.64,3.26,1.43,3.44,5.48,7.55,2.94,2.24,1.79,4.26,0.29,5.44,0.98,1.26,2.82,5.7,6.68,2.61,0.8,,2.21,0.71,2.93,2.34,2.45,4.49
December,0.34,0.65,0.56,6.53,3.32,3.03,3.51,3.31,1.27,1.23,1.82,3.5,1.59,1.78,3.29,2.28,2.43,4.85,1.46,1.68,2.53,2.09,0.58,,2.7,4.57,2.51,2.48,5.16,3.81
Total,,26.25,25.82,24.98,34.11,31.17,34.44,19.56,30.43,28.55,28.44,25.23,24.12,22.06,23.54,32,21.29,28.23,24.15,30.96,40.08,26.6,18.88,,24.13,27.32,24.69,29.67,25.77,37.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct 18th Inspection Gauge and site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Gauge might have been moved a short distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 June New gauge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Not printed Too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Jan Mar June Aug Oct-Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
