COMPTON-COMPTON-CLOSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU466251,Long,-1.33635,Lat,51.02387,Elevation,250,ft,,,,,,,,,,,,,
Station no,715,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.34,5.15,2.63,6.13,,3.27,1.62,,,,,,,,,
February,,,,,,4.02,2.1,4.42,2.4,,1.25,2.59,,,,,,,,,
March,,,,,,0.51,0.66,3.5,3.14,,1.47,0.7,,,,,,,,,
April,,,,,,3.02,3.17,2.24,1.64,,2.6,3.47,,,,,,,,,
May,,,,,,3.49,1.45,0.92,1.37,,2.05,2.69,,,,,,,,,
June,,,,,,0.07,2.47,2.92,2.5,,0.54,2.61,,,,,,,,,
July,,,,,,,1.73,2.71,1.44,1.66,1.88,3.73,,,,,,,,,
August,,,,,,3.42,1.11,3.78,2.3,,,6.03,,,,,,,,,
September,,,,,,3.59,0.85,6.03,1.23,,,2.24,,,,,,,,,
October,,,,,,3.53,2.01,2.09,7.54,4.08,1.95,0.56,,,,,,,,,
November,,,,,,2.53,6.71,3.82,2.55,9.28,5.07,3.54,,,,,,,,,
December,,,,,,3.34,0.78,3.84,3.04,7.11,3.72,0.6,,,,,,,,,
Total,,,,,,,28.19,38.9,35.28,,,30.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
House name changed from Home Close to Compton Close but gauge did not move,,,,,,,,,,,,,,,,,,,,,
1925 July Corrected by surrounding stations,,,,,,,,,,,,,,,,,,,,,
1929 Jan-June and Aug Sept Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1930 Aug Sept Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1932 Unable to carry on owing to bad eyesight,,,,,,,,,,,,,,,,,,,,,
