BRIGG - WRAWBY ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA005074,Long,-0.484,Lat,53.554,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.53,3.98,1.84,2.60,2.15,0.95,1.65,1.92,2.02,3.25,3.09,1.83,3.72,1.73,2.54,2.85,3.36,2.51,2.54,2.27,2.16,4.36,0.87,1.04,2.00,1.80,0.91,1.49,1.46,4.28,1.35,1.67,2.40,3.95
February,1.14,1.34,1.70,0.53,0.28,2.44,0.54,2.35,1.49,2.32,2.36,1.83,1.19,0.92,1.74,2.74,1.18,0.65,2.19,1.80,2.80,1.80,1.22,0.49,3.65,2.53,0.57,1.60,1.71,2.40,1.65,1.67,3.25,0.27,1.98
March,0.53,1.27,2.26,0.16,1.72,0.43,1.52,2.15,1.39,0.42,0.76,1.90,0.23,2.01,1.58,3.10,1.17,0.32,0.55,0.51,1.30,4.30,0.69,1.07,1.00,2.67,2.43,0.65,1.60,2.12,1.30,1.51,1.51,1.46,1.40
April,1.78,2.26,1.00,0.65,2.35,3.17,2.44,0.97,2.05,2.16,1.76,3.39,0.12,1.74,2.08,0.62,1.10,0.79,2.38,1.41,1.15,1.54,1.40,1.88,3.07,0.90,0.95,2.02,0.35,0.96,1.62,0.30,0.68,2.10,1.34
May,2.09,1.12,1.32,1.08,1.83,2.51,4.75,1.99,0.94,0.31,1.63,2.90,2.45,1.29,1.18,1.31,2.95,2.80,1.93,1.72,1.10,1.13,2.10,1.06,1.94,3.59,1.22,2.30,2.55,3.30,0.42,1.30,1.99,0.40,1.36
June,3.68,3.04,2.67,0.74,2.60,3.62,0.57,1.85,1.76,2.64,2.98,1.57,1.57,2.40,0.82,0.39,1.12,1.89,1.74,2.17,2.49,2.14,3.50,0.63,1.90,0.93,2.86,1.98,1.92,3.09,2.73,1.53,4.37,1.10,0.48
July,2.19,2.35,0.47,1.37,5.50,4.49,1.96,1.48,1.00,0.32,4.02,2.88,3.33,5.09,5.26,3.81,1.80,0.97,2.06,1.70,3.61,1.80,0.98,2.84,3.10,0.95,1.23,2.71,2.25,0.67,4.43,3.11,3.65,1.66,4.35
August,2.66,2.85,4.29,2.44,3.66,4.48,1.47,0.35,2.02,1.30,1.41,1.49,2.71,3.44,0.95,2.66,2.28,2.04,3.09,2.23,4.66,0.39,2.39,1.72,2.83,4.46,1.61,2.35,4.26,0.73,4.13,2.84,2.56,0.42,2.60
September,0.73,3.38,0.28,1.21,3.58,2.68,1.66,1.79,1.89,3.58,2.03,0.97,2.50,0.83,0.91,0.63,1.91,2.47,4.39,0.96,3.17,0.66,1.65,0.71,3.14,0.99,2.25,1.67,2.10,1.01,1.44,3.82,1.75,0.04,2.25
October,2.39,1.57,4.20,3.56,2.21,1.12,2.94,5.14,1.21,3.39,1.77,2.45,2.71,2.72,3.24,2.75,1.48,1.25,2.43,2.26,1.42,0.60,1.30,1.95,0.86,1.16,2.17,1.98,3.60,1.11,1.27,1.16,1.77,1.79,4.90
November,2.24,2.11,2.78,4.24,3.10,2.65,1.34,1.63,2.03,3.82,2.23,1.72,2.08,4.14,5.09,2.37,1.33,1.81,4.11,0.65,5.31,1.44,0.91,3.52,4.17,3.49,2.49,1.31,4.16,0.99,0.85,2.07,0.70,2.37,3.33
December,0.74,2.19,2.07,4.26,1.71,1.07,1.12,0.33,3.64,2.58,1.09,4.13,4.01,2.25,1.88,0.38,1.94,0.95,1.43,1.60,2.57,2.00,2.80,2.05,2.18,1.74,1.79,0.98,2.59,2.07,1.33,1.99,2.94,2.93,3.25
Total,,25.01,27.02,22.08,31.14,30.81,21.26,21.68,21.34,24.86,25.29,28.32,24.73,30.55,26.46,23.30,21.11,19.30,28.81,19.55,31.85,19.96,23.30,18.79,28.88,25.41,21.37,20.46,28.58,19.91,25.45,22.65,26.84,16.94,31.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Figures in the 1921 and 1923 columns are not readings from Wrawby Road and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# They are part of a calculation of an estimate for 1920-1925 based on aggregate readings from the Brigg Bridge Street site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The January 1926 reading is an estimate for the month before the gauge began operating, and has been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1978 according to MIDAS (labelled Eastfield Road),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
