"BRIGG (WRAWBY ROAD)",,,,,,,,,,,,
Grid ref,TA005074,Long,-0.484455,Lat,53.553617,,,,,,,
Station no,2573,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.00,1.80,0.91,1.49,1.46,4.28,1.35,1.67,2.40,3.95,,
February,2.53,0.57,1.60,1.71,2.40,1.65,1.67,3.25,0.27,1.98,,
March,2.67,2.43,0.65,1.60,2.12,1.30,1.51,1.51,1.46,1.40,,
April,0.90,0.95,2.02,0.35,0.96,1.62,0.30,0.68,2.10,1.34,,
May,3.59,1.22,2.30,2.55,3.30,0.42,1.30,1.99,0.40,1.36,,
June,0.93,2.86,1.98,1.92,3.09,2.73,1.53,4.37,1.10,0.48,,
July,0.95,1.23,2.71,2.25,0.67,4.43,3.11,3.65,1.66,4.35,,
August,4.46,1.61,2.35,4.26,0.73,4.13,2.84,2.56,0.42,2.60,,
September,0.99,2.25,1.67,2.10,1.01,1.44,3.82,1.75,0.04,2.25,,
October,1.16,2.17,1.98,3.60,1.11,1.27,1.16,1.77,1.79,4.90,,
November,3.49,2.49,1.31,4.16,0.99,0.85,2.07,0.70,2.37,3.33,,
December,1.74,1.79,0.98,2.59,2.07,1.33,1.99,2.94,2.93,3.25,,
Total,25.41,21.37,20.46,28.58,19.91,25.45,22.65,26.84,16.94,31.19,,
Calc annual,25.41,21.37,20.46,28.58,19.91,25.45,22.65,26.84,16.94,31.19,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
