CHULMLEIGH-ASHREIGNEY-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS630141,Long,-3.94959,Lat,50.91012,Elevation,570,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1831/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.98,3.47,3.04,5.05,6.47,3.11,3.6,4.01,4.3,7.8,2.29,1.14,4.25,4.58,0.92,1.97,5.37,,,,,
February,,,,,,,,1.31,2.04,3.36,4.12,0.47,2.41,0.91,3.59,3.65,0.55,1.87,1.48,6.01,3.95,1.15,1.9,3.88,3.6,,,,,
March,,,,,,,,0.48,1.39,3.05,3.79,2.48,1.08,0.21,1.45,1.13,5.85,1.22,2.45,1.51,4.6,3.24,1.04,3.47,1,,,,,
April,,,,,,,,0.42,2.43,4.38,0.78,1.54,0.93,1.69,1.2,3.17,2.24,3.03,2.01,2.67,3.34,3.23,3.19,0.54,1.94,,,,,
May,,,,,,,,2.5,0.83,1.24,2.18,5.04,3.5,1.71,3.95,3.83,2.35,3.1,4.01,2.32,2.07,3.16,2.83,2.57,4.82,,,,,
June,,,,,,,,1.59,2.53,0.75,1.35,0.35,1.96,4.21,3.47,3.25,3.39,2.63,0.6,1.99,1.28,1.79,1.84,3.33,,,,,,
July,,,,,,,,3.77,5.57,5.53,1.89,2.12,2.94,2.2,4.09,2.34,2.48,2.29,3.81,4.55,1.85,1.54,4.9,6.62,,,,,,
August,,,,,,,,7.61,1.92,0.32,5.57,3.46,4.43,3.94,2.58,5.05,0.69,3.91,3.7,7.69,5.3,7.77,4.75,4.65,,,,,,
September,,,,,,,,1.75,0.79,2.58,0.21,3.58,4.63,2.81,2.54,4.88,2.22,2.17,2.9,7.53,2.48,4,7.06,6.69,,,,,,
October,,,,,,,,4.9,3.1,3.87,2.86,3.11,3.77,5.8,5.37,2.01,1.85,5.48,10.26,1.75,2.29,5.3,2.72,6.53,,,,,,
November,,,,,,,,5.55,7.95,7.8,2.45,1.14,3.77,7.2,0.54,4.75,4.03,2.45,4.87,7.27,5.59,4.71,2.94,8.38,,,,,,
December,,,,,,,,4.41,3.04,4.02,3.65,4.58,2.87,4.04,5.78,4.84,4.3,4.99,3.05,3.98,3.73,4.51,1.6,5.01,,,,,,
Total,,,,,,,,,37.57,40.37,31.89,32.92,38.76,37.83,38.16,42.91,34.25,40.94,41.43,48.41,40.73,44.98,35.69,53.64,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan Marked as estimated Assume station started mid Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Observer moved to Goodleigh Rectory Stn No 1846/5/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
