BOWNESS WINDERMERE MATSON GROUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD416966,Long,-2.9002253,Lat,54.36156,Elevation,451,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,7.07,8.48,6.18,3.85,13.43,11.74,9.23,11.09,5.02,11.59,7.02,2.01,1.28,0.67,5.62,,,,,,,
February,,,,,,,,,6.67,9.59,5.14,7.74,7.1,1.29,4.79,2.21,7.54,5.14,3.35,4.95,6.27,7.07,7.23,,,,,,,
March,,,,,,,,2.96,9.92,1.24,2.94,4.29,6.59,3.58,5.69,1.9,6.11,3.59,3.86,4.08,2.09,8.67,5.04,,,,,,,
April,,,,,,,,6.65,3.36,3.79,2.67,4.2,2.56,0.54,2.07,2.04,3.55,2.96,2.72,2.15,3.01,2.35,6.18,,,,,,,
May,,,,,,,,2.5,2.16,2.24,4.93,1.93,2.96,3.51,1.15,3.22,0.95,4.45,5.47,1.88,2.47,5.76,3.2,,,,,,,
June,,,,,,,,1.89,1.13,2.05,2.01,2.49,5.35,3.66,2.62,5.94,4.39,3.86,3.73,6.44,3.66,5.61,5.84,,,,,,,
July,,,,,,,,5.31,0.79,2.41,1.29,6.26,4.54,7.91,2.96,3.2,3.45,6.52,0.66,7.87,7.64,7.42,10.42,,,,,,,
August,,,,,,,,4.64,7.56,2.54,2.51,5.72,6.08,6.07,9.12,4.08,5.28,7.19,5.29,6.06,1.36,6.78,5.25,,,,,,,
September,,,,,,,,7.57,3.27,13.06,4.11,4.3,10.36,4.02,7.31,8.22,6.46,4.6,7.12,6.04,6.24,4.04,3.57,,,,,,,
October,,,,,,,,6.83,7.9,3.69,12.09,8.04,9.55,8.95,14.29,6.54,5.54,10.49,6.92,3.36,1.69,3.38,5.66,,,,,,,
November,,,,,,,,2.08,4.09,8.71,5.52,2.66,9.54,4.41,5.49,7.13,4.52,11.73,1.93,2.07,9.36,9.93,9.73,,,,,,,
December,,,,,,,,5.18,12.51,8.73,3.5,7.87,7.59,3.95,5.3,4.83,10.97,7.66,3.03,5.52,7.17,8.09,5.72,,,,,,,
Total,,,,,,,,,66.43,66.53,52.89,59.35,85.65,59.63,70.02,60.4,63.78,79.78,51.1,52.43,52.24,69.77,73.46,,,,,,,
