COLCHESTER SURVEYORS (Castle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL999253,Long,0.905,Lat,51.8905,Elevation,87,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.65,3.93,3.64,2.83,5.65,1.41,2,2.3,4.16,1.56,1.54,1.25,2.62,3.52,1.28,1.29,1.57,2.03,0.84,1.28,2.43,3.61,0.94,2.57,1.89,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.75,2.09,3.31,0.47,0.8,1.86,2.01,0.89,0.61,1.11,1.66,1.94,1.63,1.23,1.13,2.6,4.34,0.66,1.12,2.16,1.74,0.42,2.46,2.57,0.07,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.52,0.67,2.85,0.43,1.74,2.59,2.57,2.21,0.38,0.4,1.06,1.2,4.03,0.94,0.75,0.64,2.6,2.95,0.38,2.01,1.37,0.84,1.78,0.81,1.39,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.63,1.23,2.85,0.37,2.57,1.57,1.16,0.66,0.86,1.31,0.83,1.17,1.3,1.55,0.76,1.42,2.61,1.09,1.8,0.28,0.13,0.81,0.11,1.02,2.05,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.36,0.84,2.34,1.54,1.41,0.55,1.52,2.08,1.39,0.3,1.94,1.51,0.81,0.83,2.17,1.47,2.22,1.23,1.25,1.56,3,0.62,0.87,2.11,0.28,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,3.39,3.48,1.95,0.52,1.55,0.2,0.84,0.69,1.68,1.62,1.86,2.51,2,1.47,0.63,1.22,0.94,1.64,3.51,2.28,2.55,2.04,1.33,4.57,0.64,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.28,2.73,1.57,1.1,1.88,2.51,2.5,1.94,1.51,1.83,1.11,2.58,0.9,1.46,1.89,3.3,1.98,0.63,3.38,2.63,0.12,3.43,3.55,2.68,1.13,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.35,0.59,0.97,1.25,3.42,0.11,3.87,1.5,1.01,2.15,2.15,3.87,0.07,3.11,0.93,1.55,2.56,2.27,2.71,2.86,2.08,3.71,3.04,3.93,0.76,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.23,1.93,2.28,1.76,0.27,1.08,0.55,1.57,2.36,2.6,1.72,1.66,1.43,1.25,0.69,2.9,2.04,3.04,1.49,1.6,1.75,1.32,2.89,3.32,0.01,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.33,1.45,1.54,2.67,7.43,2.25,1.44,3.39,1.47,4.49,1.62,0.73,0.21,1.98,4.71,0.31,0.61,2.08,2.04,1.61,4.05,1.25,1.54,2.4,1.76,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
