"COLCHESTER BOROUGH SURVEYORS OFFICE",,,,,,,,,,,,
Grid ref,TL998248,Long,0.901823,Lat,51.885942,,,,,,,
Station no,1318,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.69,0.25,0.42,1.61,1.93,0.67,2.09,0.81,0.60,0.64,,
February,1.74,0.51,0.72,0.42,1.87,0.67,1.71,0.67,1.24,1.26,,
March,0.82,1.06,1.18,1.21,1.41,1.84,1.11,0.64,1.35,2.05,,
April,0.94,1.07,0.96,2.08,0.77,1.89,0.76,2.60,1.96,1.41,,
May,0.79,0.83,3.02,3.16,1.43,1.48,1.35,1.94,0.91,0.70,,
June,1.39,1.11,2.45,2.76,0.75,3.11,1.48,1.78,0.59,3.96,,
July,0.78,2.13,1.08,3.74,2.32,0.36,0.24,1.71,3.08,3.69,,
August,2.07,1.20,2.65,3.68,1.29,1.40,0.23,1.80,1.31,2.88,,
September,0.51,0.84,1.54,2.02,0.82,0.95,1.38,0.57,0.58,1.59,,
October,1.06,1.62,1.40,4.43,0.62,0.83,3.16,2.31,1.49,3.89,,
November,1.48,0.75,1.53,1.91,1.18,1.73,3.64,1.50,0.94,0.82,,
December,1.85,2.74,1.21,1.00,1.73,0.53,1.63,2.45,1.38,3.63,,
Total,15.12,14.11,18.16,28.02,16.12,15.46,18.78,18.78,15.43,26.52,,
Calc annual,15.12,14.11,18.16,28.02,16.12,15.46,18.78,18.78,15.43,26.52,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
