COLCHESTER SURVEYORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL998248,Long,0.901823,Lat,51.885942,Elevation,82,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.54,1.18,0.87,2.01,1.57,0.48,1.53,1.78,1.8,1.23,2.21,0.75,1.82,1.69,0.25,0.42,1.61,1.93,0.67,2.09,0.81,0.6,0.64,1.18,1,1.96,2.64,1.33,2.36,1.01,1.45,2.52,2.31,1.91,1.86,3.7,1.28,2.19,1.01,2.39,1.36,3.34,1.18,1.95,1.75,0.76,1.43,1.37,2.72,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.43,1.23,1.79,0.95,0.06,1.9,3.24,1.2,0.77,0.33,2.29,0.9,1.29,1.74,0.51,0.72,0.42,1.87,0.67,1.71,0.67,1.24,1.26,2.03,0.91,1.24,0.51,1.76,2.79,3.21,0.59,0.62,2.96,0.41,0.17,1.66,3.14,0.5,1.84,1.85,3.03,1.17,0.47,0.68,2.47,0.41,1.06,0.34,2.83,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.36,2.63,1,2.22,1.54,1.42,0.57,0.78,1.33,3.29,2.72,1.4,0.98,0.82,1.06,1.18,1.21,1.41,1.84,1.11,0.64,1.35,2.05,0.93,1.77,2.82,2.07,3.91,0.93,3.71,2.01,0.93,2.08,0.93,0.85,1.25,1.36,0.64,0.64,0.04,1.92,2.93,0.07,1.44,0.2,1.21,1.73,2.2,0.55,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.54,1.65,1.66,1.3,0.64,1.54,0.08,1.53,1.03,0.84,1.87,1.19,2.22,0.94,1.07,0.96,2.08,0.77,1.89,0.76,2.6,1.96,1.41,1.41,0.74,0.21,1.65,1.02,0.77,1.38,1.62,2.36,3.49,3.27,1.44,2.53,1.01,2.25,1.15,4.18,2.03,1.19,1.4,1.99,2.88,2.51,0.78,2.65,2.74,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.54,0.81,3.14,1.91,1.71,0.96,0.75,1.73,0.36,0.43,0.81,3.04,1.67,0.79,0.83,3.02,3.16,1.43,1.48,1.35,1.94,0.91,0.7,2.84,0.76,1.15,1.59,1.14,1.82,1.67,2.24,1.72,0.33,0.61,1.14,1.13,1.01,3.67,2.12,0.86,0.79,2.18,1.68,1.86,2.28,3.64,1.37,1.27,1.41,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.31,2.55,1.91,2.08,1.6,4.23,0.65,2.34,0.45,1.98,2.77,1.64,1.61,1.39,1.11,2.45,2.76,0.75,3.11,1.48,1.78,0.59,3.96,1.56,1.96,1.9,1.51,1.06,0.56,2.15,0.57,0.75,1.2,0.88,0.06,1.03,0.85,1.9,0.33,3.45,3.74,2.76,0.88,0.51,1.22,0.62,2.56,0.99,3.42,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.47,3.79,2.6,2.92,2.5,1.59,2.6,4.61,3.8,0.62,1.95,1.17,2.79,0.78,2.13,1.08,3.74,2.32,0.36,0.24,1.71,3.08,3.69,1.57,0.3,1.27,1.18,2.29,3.6,1.31,2.22,4.52,1.77,4.13,0.25,2.55,1.36,3.14,1.88,2.19,3.49,1.79,2.18,3.37,3.86,2.93,0.94,1.25,0.28,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.42,2.61,2.21,3.21,3.5,3.99,2.07,1.53,1.87,2.13,3.45,1.16,0.45,2.07,1.2,2.65,3.68,1.29,1.4,0.23,1.8,1.31,2.88,2.33,0.89,5.04,0.49,0.71,2.14,4.07,3.31,0.91,2.22,2.04,1.02,1.17,1.69,1.87,1.9,1.19,3.05,2.4,1.34,2.08,3.54,1.24,0.68,1.6,1.4,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.03,1.08,1.9,1.05,0.51,2.07,1.31,1.13,1.1,5.33,2.88,0.31,2.16,0.51,0.84,1.54,2.02,0.82,0.95,1.38,0.57,0.58,1.59,0.82,1.14,2.61,1.23,1.07,1.42,0.93,0.81,3.4,0.62,4.2,1.82,3.09,1.26,1.78,2.03,1.83,3.32,1.03,0.81,4.76,1.97,1.71,2.13,1.41,3.32,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.48,1.04,3.82,1.27,4.88,4.96,2.17,2.26,2.11,2.93,0.44,2.1,1.33,1.06,1.62,1.4,4.43,0.62,0.83,3.16,2.31,1.49,3.89,1.24,2.29,1.54,3.16,1.31,1.53,2.11,3.18,1.88,0.99,0.93,0.56,0.91,3.93,3.75,2.51,2.41,2.09,2.1,2.98,1.09,0.68,5.54,1.33,2.12,2.37,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
