"NASEBY RESERVOIR",,,,,,,,,,,,
Grid ref,SP670780,Long,-1.016774,Lat,52.395928,,,,,,,
Station no,1090,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.90,0.86,,,,,,
February,,,,,4.02,0.58,,,,,,
March,,,,,2.09,2.81,,,,,,
April,,,,,1.01,1.39,,,,,,
May,,,,,2.55,0.85,,,,,,
June,,,,,0.53,2.21,,,,,,
July,,,,,2.69,1.65,,,,,,
August,,,,,2.69,3.29,,,,,,
September,,,,,1.92,2.65,,,,,,
October,,,,,1.22,1.19,,,,,,
November,,,,,0.92,2.89,,,,,,
December,,,,,1.60,1.08,,,,,,
Total,,,,,23.14,21.45,,,,,,
Calc annual,0.00,0.00,0.00,0.00,23.14,21.45,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,,
