HUNSTANWORTH (BOLTSHOPE),,,,,,,,,,
Grid ref,NY9489746786,Long,-2.0809328,Lat,54.815902,Elevation,1200,ft,,
Station no,3553/8/3/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.58,4.13,4.05,3.43,4.05,3.26,,6.32
February,,,1.18,3.35,3.48,4.36,3.34,4.81,0.38,4.19
March,,,0.41,3,2.28,1.86,2.03,2.5,1.56,2.98
April,,,3.64,0.91,0.51,1.5,0.4,1.43,3.43,2.14
May,,,2.87,5.99,3.05,1.08,1.69,4.07,0.84,1.87
June,,,4.18,2.03,2.83,3.43,0.88,3.99,2.02,0.76
July,,1.97,1.71,1.85,1.45,3.6,3.77,4.33,1.52,5.46
August,,3.92,4.55,8.23,1.23,10.12,6.21,3.2,0.85,4.11
September,,4.79,3.38,4.5,1.5,4.54,3.66,3.51,1.01,3.38
October,,5.44,2.29,6.09,2.54,2.71,3.18,2.47,,11.11
November,,3.71,2.95,6.42,1.81,1.43,2.92,0.52,6.71,4.58
December,,3.17,1.39,5.1,5.64,4.73,3.86,5.41,7.27,3.83
Total,,,29.13,51.6,30.37,42.79,35.99,39.5,,50.73
,,,,,,,,,,
"1959 Jan 3.32, Oct 2.54 and tot estimated so removed",,,,,,,,,,
1959 total mistranscribed,,,,,,,,,,
1827,BOLTSHOPE ,NY9489746786,01/01/1952,31/12/1990,,,,,,
