"WEARDALE W.W. (HISEHOPE RES.)",,,,,,,,,,,,
Grid ref,NZ024461,Long,-1.964184,Lat,54.809759,,,,,,,
Station no,3552,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,4.75,0.52,3.06,3.40,4.14,2.87,2.63,3.17,6.63,,
February,3.28,1.25,1.93,2.84,3.41,3.64,2.98,4.54,0.28,3.26,,
March,4.48,1.56,0.09,1.95,2.20,1.33,1.42,3.36,1.11,2.95,,
April,2.28,1.58,2.71,0.63,0.48,1.29,0.32,1.59,2.37,1.64,,
May,4.47,1.75,3.17,4.31,2.54,0.73,1.77,3.20,0.58,2.66,,
June,1.28,1.29,3.88,2.02,2.31,3.64,1.55,3.48,1.77,0.56,,
July,1.90,1.66,1.73,1.56,1.10,2.83,3.77,3.05,1.09,5.91,,
August,5.35,3.34,4.73,7.28,1.18,9.44,3.88,3.59,0.65,3.86,,
September,1.80,4.46,2.71,3.34,1.09,3.58,3.33,3.00,1.09,3.35,,
October,0.71,4.45,2.26,5.02,1.88,1.60,2.17,2.15,1.99,11.84,,
November,8.93,3.31,2.06,5.16,2.07,0.85,1.99,0.37,4.81,4.26,,
December,4.44,2.78,1.29,3.53,4.10,3.37,2.51,4.06,5.36,3.28,,
Total,41.10,32.18,27.08,40.70,25.76,36.44,28.56,35.02,24.27,50.20,,
Calc annual,41.10,32.18,27.08,40.70,25.76,36.44,28.56,35.02,24.27,50.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
