EASTBOURNE-MOTCOMBE-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TV597996,Long,0.26361406,Lat,50.774001,Elevation,59,ft,,,,,,,,,,,,,
Station no,529,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.76,4.05,1.43,2.33,4.49,3.42,3.16,4.42,1.19,3.35,2.74,2.42,2.42,2.86,,,,,,
February,,0.57,2.66,4.12,0.6,4.14,3.05,3.02,1.97,0.97,1.93,2.14,0.16,1.76,0.02,,,,,,
March,,1.57,1.69,2.39,1.99,0.74,0.58,4.17,2.27,0.06,2.34,0.55,1.51,1.9,2.63,,,,,,
April,,1.3,3.31,2.27,2.58,2.57,3.62,1.8,2.09,0.94,1.53,3.09,2.63,1.08,2.6,,,,,,
May,,0.95,0.54,2.88,3.25,2.95,2.27,0.57,1.44,2.03,2.62,2.05,2.31,1.32,0.49,,,,,,
June,,0.16,1.84,0.63,1.96,0.13,3.3,3.71,2.71,2.34,0.21,1.59,1.86,2.3,1.42,,,,,,
July,,0.4,2.13,3.66,3.08,4.82,2.38,2.77,1.54,1.27,2.34,2.66,4.14,1.64,1.13,,,,,,
August,,1.52,3.35,2.72,4.17,1.76,2.18,4.21,1.24,1.98,3.66,4.2,1,1.26,3.51,,,,,,
September,,0.69,2.67,3.73,3.42,3.7,0.8,5.32,0.42,0.88,3.31,2.04,2.77,4.84,1.6,,,,,,
October,,1.1,1.13,7.42,5.76,4.46,3.75,1.56,8.4,4.96,3.7,0.83,7.96,3.08,2.63,,,,,,
November,,2.27,1.85,2.82,3.25,3.08,6.83,3.27,4.68,6.6,7.54,5.61,1.5,1.37,3.98,,,,,,
December,,2.42,2.89,3.74,4.88,5.33,0.7,5.04,3.4,8.47,3.53,1.21,0.77,1.25,8.67,,,,,,
Total,,15.71,28.11,37.81,37.27,38.17,32.88,38.6,34.58,31.69,36.06,28.71,29.03,24.22,31.54,,,,,,
