MULL OF KINTYRE 11,,,,,,,,,,,,
Grid ref,NR587084,Long,-5.803984,Lat,55.310343,,,,,,,
Station no,5415,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.36,4.50,2.42,4.57,3.64,4.21,3.00,3.62,1.44,5.24,,
February,3.07,1.68,1.02,4.54,2.73,1.29,3.04,3.71,1.18,2.55,,
March,4.48,2.09,0.41,3.20,1.61,1.83,4.49,1.71,2.92,2.56,,
April,1.24,1.44,1.66,1.52,3.23,0.97,2.05,1.60,2.24,1.60,,
May,2.96,1.36,2.00,2.95,3.35,1.72,2.44,3.29,1.35,2.20,,
June,2.71,2.69,1.77,4.00,5.08,2.91,1.86,4.90,1.95,2.60,,
July,4.51,2.83,6.16,4.06,0.75,3.76,6.67,4.51,4.02,5.18,,
August,2.94,5.21,3.73,3.29,1.16,6.09,3.03,4.11,0.64,2.54,,
September,3.17,3.05,4.71,4.26,3.76,3.71,4.43,3.88,1.65,2.81,,
October,1.29,6.10,4.02,7.20,3.35,1.77,4.12,2.58,4.21,6.74,,
November,8.43,2.85,4.62,8.31,3.27,2.23,2.05,3.22,4.06,5.76,,
December,5.44,3.89,3.45,4.43,4.82,4.19,4.51,7.16,6.77,3.24,,
Total,43.60,37.69,35.97,52.33,36.75,34.68,41.69,44.29,32.43,43.02,,
Calc annual,43.60,37.69,35.97,52.33,36.75,34.68,41.69,44.29,32.43,43.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
