Rainfall at,MULL OF KINTYRE
,
Station no,5415,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.71,3.87,4.30,2.78,5.40,3.13,4.84,5.14,5.67,3.01,2.37,
February,2.38,1.60,5.54,6.22,1.31,5.08,5.92,2.14,3.36,2.77,0.60,
March,2.33,2.63,1.27,0.75,1.53,1.75,1.99,2.19,5.39,0.20,3.09,
April,2.83,1.38,1.66,4.18,1.38,2.69,1.69,3.82,1.84,0.96,2.57,
May,4.85,2.93,2.50,1.39,5.34,5.01,3.60,2.52,2.26,2.50,1.85,
June,2.36,0.64,2.93,1.46,2.16,0.99,2.49,4.08,6.20,3.23,2.49,
July,1.81,1.89,3.78,3.88,6.02,3.15,3.46,3.42,2.12,3.29,3.71,
August,3.37,5.15,2.56,4.55,5.09,1.94,4.80,3.63,4.86,7.35,6.98,
September,5.72,1.99,2.67,5.16,6.64,4.46,4.15,4.55,3.17,2.34,5.21,
October,3.91,2.89,1.60,3.94,3.28,4.85,5.83,4.24,7.96,4.88,6.67,
November,2.57,6.49,2.43,5.54,3.20,2.59,5.36,4.72,5.10,5.40,5.22,
December,3.23,3.96,3.16,6.36,3.26,3.91,2.46,3.59,6.01,6.10,4.33,
Total,41.07,35.42,34.40,46.21,44.61,39.55,46.59,44.04,53.94,42.03,45.09,
Calc annual,41.07,35.42,34.40,46.21,44.61,39.55,46.59,44.04,53.94,42.03,45.09,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
