"MELTON (ST. AUDRY'S HOSPITAL)",,,,,,,,,,,,
Grid ref,TM286517,Long,1.337519,Lat,52.116330,,,,,,,
Station no,1357,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.63,2.40,0.77,1.64,2.13,3.89,1.30,2.57,1.71,3.24,,
February,3.46,0.81,1.16,2.06,1.86,1.35,2.44,2.85,0.20,1.10,,
March,2.86,3.02,0.30,2.10,1.21,0.75,1.22,1.21,1.03,1.36,,
April,3.03,0.48,1.54,0.30,0.40,0.85,0.32,1.10,1.25,0.54,,
May,1.98,1.15,1.32,1.23,2.17,0.70,1.61,3.00,0.05,0.58,,
June,1.87,1.61,2.10,1.43,2.91,1.57,1.86,4.00,0.53,1.36,,
July,2.79,0.82,2.31,2.45,0.18,1.86,2.62,2.00,2.63,3.48,,
August,3.35,2.53,1.43,4.25,2.79,4.07,2.48,3.70,1.36,2.79,,
September,3.03,3.06,1.45,1.37,1.37,2.29,2.71,2.73,0.03,4.03,,
October,0.40,1.51,1.60,1.80,4.22,1.53,1.63,2.37,1.82,5.61,,
November,4.54,4.43,1.08,4.02,0.59,0.97,1.65,1.09,2.36,2.98,,
December,1.91,2.30,0.54,2.15,1.42,1.90,2.39,3.21,2.91,3.40,,
Total,30.85,24.12,15.60,24.80,21.25,21.73,22.23,29.83,15.88,30.47,,
Calc annual,30.85,24.12,15.60,24.80,21.25,21.73,22.23,29.83,15.88,30.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
