ATTLEBOROUGH-BRECCLES-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL961945,Long,0.888451,Lat,52.513099,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1458/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.12,2.24,2.33,3.72,2.61,4.99,2.2,,,4.27,1.64,,1.5,1.44,3.8,0.57,1.17,3.41,2.43,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.09,2.35,2.3,3.36,0.94,0.93,2.03,,,0.57,1.21,1.68,1.91,1.69,1.21,1.04,3.58,3.15,1.15,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.32,0.74,0.77,3.52,0.31,2.06,2.5,,1.67,0.61,0.46,1.67,0.99,4.42,0.66,0.87,0.5,3.5,2.44,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.09,2.97,1.16,2.66,0.49,2.26,1.91,,0.66,1.03,1.67,2.26,0.66,1.08,2.14,1.71,2.02,4.13,1.07,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.04,1.05,1.32,2.14,2.07,1.13,1.51,2.2,2.09,1.74,1.25,2.78,0.58,0.3,3.1,2.14,1.98,2.13,1.13,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.5,2.83,3.8,1.46,1.33,1.83,0.12,0.36,0.46,2.3,1.57,1.31,2.76,1.92,2.7,0.73,1.64,1.03,1.93,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.69,1.38,3.82,1.4,2,1.84,2.22,1.77,3.45,0.9,2.98,,5.77,3.01,2.41,1.93,6.37,1.7,0.85,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.44,0.82,0.76,2.06,1.86,5.87,0.41,3.34,0.99,1.78,1.03,,3.28,0,2.47,1.99,2.17,2.64,2.62,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.91,3.15,2.27,2.38,2.41,1.81,0.63,0.78,1.73,1.82,2.98,2.79,3.15,0.62,1.56,1.53,3.53,2.23,1.64,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,0.58,3.01,1.1,1.84,2.93,4.46,1.59,2.07,3.33,1.69,3.29,2.72,1.23,0.29,2.29,3.28,0.99,0.57,2.4,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
