SELSEY-CHURCH-NORTON,,,,,,,,,,
Grid ref,SZ873955,Long,-0.763825,Lat,50.752545,Elevation,5,ft,,
Station no,417/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.41,3.46,2.98
February,,,,,,,,2.56,0.07,3.16
March,,,,,,,,1.46,2.07,2.03
April,,,,,,,,0.5,1.96,0.97
May,,,,,,,,3.04,0.27,1.58
June,,,,,,,,3.08,0.54,1.65
July,,,,,,,,1.1,1.45,3.4
August,,,,,,,,3.2,1.98,6.03
September,,,,,,,,3.59,0.16,5.44
October,,,,,,,1.81,2.54,2.78,6.51
November,,,,,,,2.54,2.73,4.2,5.8
December,,,,,,,1.79,3.46,6.9,4.33
Total,,,,,,,,31.67,25.84,43.88
