EXFORD-NORTH-LEY (Stockleigh Court),,,,,,,,,,,,,,,,,,,,
Grid ref,SS848384,Long,-3.6474,Lat,51.1333,Elevation,900,ft,,,,,,,,,,,,
Station no,2116,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,-999,4.42,7.27,1.93,6.18,9.57,8.64,10.31,4.85,5.09,5.48,9.67,5.69,,6.65,5.14,,,
February,,-999,4.31,0.53,6.31,2.96,10.34,2.94,4.71,5.53,6.81,0.66,4.28,1.5,,7.07,,,,
March,,-999,6.24,3.51,2.13,4,5.13,0.85,2.61,3.77,7.43,4.25,1.55,0.32,,2.43,,,,
April,,-999,1.65,4.32,7.98,4.39,4.87,0.26,3.54,4.23,1.99,3.61,1.58,3.17,,4.16,3.76,,,
May,,-999,3.42,2.2,2.28,0.69,2.59,4.33,2.86,1.73,3.28,6.97,4.55,2,,4.19,2.21,5.6,,
June,,-999,1.53,2.52,4.98,3.19,1.71,3.89,3.2,0.84,1.45,0.54,3,4.23,,6.25,3.03,3.94,,
July,,-999,3.71,1.17,0.81,9.9,2.4,4.94,8.05,6.49,2.49,4.67,4.64,4.53,,3.36,2.87,2.7,,
August,,-999,2.02,5.61,4.39,1.63,1.31,7.32,4.08,0.6,6.86,4.59,5.22,5.9,,6.23,0.84,5.54,,
September,,7.16,2.01,5.34,10.47,5.33,4.22,1.66,0.91,3.65,0.81,6.33,6.07,6.19,5.49,8.1,2.31,4.6,,
October,,12.87,7.61,5.68,7.9,3.21,4.21,10.46,4.59,6.84,5.2,4.68,3.63,9.5,7.24,2.28,1.23,6.32,,
November,,4.44,1.79,4.8,7.38,8.21,3.1,11.13,13.64,16.86,3.91,2.1,5.09,11.05,1.25,11.33,5.64,3.91,,
December,,3.61,1.1,14.94,7.63,6.31,6.42,6.6,5.13,5.16,5.93,8.13,3.98,6.97,9.27,7.71,4.42,8.07,,
Total,,58.28,39.81,57.89,64.19,56,55.87,63.02,63.63,60.55,51.25,52.01,53.26,61.05,56.84,69.76,40.95,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1932 Sep Gauge move 1/2 mile to Stockleigh Court (Continuation record),,,,,,,,,,,,,,,,,,,,
1945 Jan-Aug estimated,,,,,,,,,,,,,,,,,,,,
1947 Feb-Mar estimated,,,,,,,,,,,,,,,,,,,,
