STONY-STRATFORD-CALVERTON-LIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP789402,Long,-0.85072879,Lat,52.054578,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.21,0.7,2.63,1.16,1.35,1.99,3.45,2.5,2.09,2.98,1.25,2.3,1.15,2.7,2.07,3.45,1.13,2.78,1.31,1.4,1.84,1.6,0.77,,,,,
February,,,1.6,0.94,1.79,2.78,4.28,1.08,1.37,2.04,0.65,0.49,2.49,3.37,0.42,2.51,2.34,3.26,1.91,0.61,0.61,1.95,0.18,1.57,0.44,2.45,,,,,
March,,,3.04,2.58,3.37,1.08,5.63,1.56,0.61,4.77,2.05,0.84,1.45,1.94,0.68,0.68,0.29,2.26,0.97,0.04,1.61,0.08,1.46,2.29,1.7,0.54,,,,,
April,,,0.12,2.51,0.87,0.8,1.25,1.61,3.89,2.63,3.32,0.92,4.22,2.1,2.86,1.39,2.59,1.33,1.17,1.3,1.39,4.1,2.18,0.82,1.45,3.7,,,,,
May,,,1.5,1.55,0.82,1.93,1.47,2.95,1.86,0.55,3.04,1.42,0.77,1.33,4.02,1.74,2.66,1.21,1.35,1.44,2.03,3.31,4.63,2.05,0.64,1.86,,,,,
June,,,2.68,0.66,2.3,0.53,2.07,2.33,0.54,1.09,3.98,0.34,0.95,0.45,2.33,0,2.62,3.61,1.95,0.68,1.22,2.08,0.78,2.13,1.09,2.88,,,,,
July,,,2.49,1.03,1.33,5.46,2.36,2.5,3.49,2.5,3.6,0.87,4.89,3.46,2.7,3.47,1.74,2.08,2.48,1.55,2.62,3.31,3.13,1.15,2.24,0.55,,,,,
August,,,6.19,0.51,1.6,2.18,2.25,6.17,1.24,2.25,1.67,1.22,3.97,2.25,2.55,1.07,1.14,2.87,1.67,0.74,2.02,3.44,3.38,0.89,1.46,2.79,,,,,
September,,,1.27,2.2,1.12,2.18,0.85,1.26,5.08,1.72,1.83,1.52,2.46,3.19,3.75,2.75,2.07,4.97,0.54,0.17,3.92,2.67,3.21,1.97,2.48,3.96,,,,,
October,,,2.44,3.85,3.54,1.47,2.52,3.65,1.38,1.95,1.07,1.23,0.42,2.72,3.58,3.27,2.18,1.54,3.97,3.33,1.36,0.62,2.95,1.89,1.56,3.18,,,,,
November,,,1.4,2.19,2.49,2.35,3.1,1.17,2.13,1.4,1.25,1.88,1.49,1.32,2.78,1.81,4.37,2.04,2.72,5.35,3.3,2.87,1.65,1.61,2.25,4.03,,,,,
December,,,3.5,0.77,5.08,4.53,2.76,0.6,2.76,4.51,1.86,1.83,2.56,2.79,2.33,2.09,0.37,2.29,2.72,4.37,2.24,1.17,0.65,0.4,5.15,2.82,,,,,
Total,,,,22,25.01,27.92,29.7,26.23,26.34,28.86,26.82,14.65,28.65,26.17,30.3,21.93,25.07,29.53,24.9,20.71,25.1,26.91,25.6,18.61,22.06,29.53,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
