BURWARTON RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO617850,Long,-2.565128,Lat,52.461593,Elevation,830,ft.,,,,,,,,,,,,
Station no,RR2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.85,2.63,5.16,3.74,0.91,0.75,4.18,2.64,2.97,2.22,2.76,5.48,1.07,2.39,,
February,,,,,2.78,3.75,1.28,1.15,0.77,1.78,1.15,0.07,2.1,4,3.3,0.08,0.58,2.74,,
March,,,,,4.12,1.59,3.85,1.98,3.42,2.85,2.06,1.59,1.03,1.07,1.53,2.27,3.35,,,
April,,,,,1.82,3.26,2.23,1.31,1.59,6.15,1.35,2.56,1.26,0.29,2.4,2.61,1.61,,,
May,,,,,1.19,3.25,10.32,2.19,1.14,2.84,2.77,5.68,2.65,2.48,3.55,0.8,0.35,,,
June,,,,,3.12,3.13,2.02,1.6,3.25,0.59,2.17,3.79,4.56,1.8,2.43,2.1,2.34,,,
July,,,,,2.69,0.85,3.04,1.73,6.22,2.85,2.62,1.4,2.53,3.24,2.6,2.76,1.14,,,
August,,,,,2.6,4.22,1.63,3.52,3.8,2.95,4.56,4.94,2.41,1.81,3.52,3.85,2,,,
September,,,,,2.46,4.42,2.31,3.19,1.06,2.18,1.12,2.44,3.23,2.04,2.31,0.74,5.9,,,
October,,,,,1.5,5.74,4.44,2.92,1.04,4.13,2.3,7.15,3.28,2.88,4.1,3.02,3.67,,,
November,,,,,2.01,4.24,2.49,2.7,6.86,1.4,3.81,3.53,2.5,1.96,3.89,5.17,1.51,,,
December,,,,,3.2,1.1,5.43,2.63,3.55,2.27,1.32,4.75,1.8,4.99,1.96,2.19,4.69,,,
Total,,,,,31.34,38.18,44.2,28.66,33.61,30.74,29.41,40.54,30.32,28.78,34.35,31.07,28.21,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Burwarton Rectory, the observer is Rev A James. The altitude matches",,,,,,,,,,,,,,,,,,,,
