BURWARTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO614852,Long,-2.5695664,Lat,52.46337,Elevation,894,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.57,3.21,5.41,1.7,3.45,2.6,4.43,3.18,6.02,1.1,6.95,2.79,3.95,2.1,2.45,,4.8,4.49,3.98,7.13,4.19,6.7,4.32,6.01,2.81,,,,,,
February,1.9,0.38,4.07,7.15,0.79,4.45,2.4,2.57,3.03,0.66,0.94,3.36,0.33,4.2,0.29,,3.55,5.87,0.68,1.36,3.31,3.83,0.97,1.59,1.49,,,,,,
March,2.67,2.34,3.67,1.9,1.53,1.73,0.67,3.71,3.05,0.13,4.57,0.42,2.64,2.94,2.87,,4.6,3.62,0.39,2.02,2.2,4.21,2.77,1.35,0.56,,,,,,
April,4.93,1.74,3.29,2.81,4.19,3.35,2.54,1.7,1.79,1.49,3.63,4.46,6,0.93,3.78,,3.44,2.82,0.25,1.92,3.97,2.18,1.99,1.09,1.81,,,,,,
May,3.13,1.29,1.23,2.03,6.97,2.96,3.92,1.69,1.18,4.54,2.58,5.78,5.63,1.27,1.84,,1.4,3.02,2.24,1.42,2.9,3.55,5.24,3.42,1.04,,,,,,
June,2.39,0.54,0.94,0.47,2.78,0,2.39,4.56,3.8,3.23,0.93,4.86,1.26,2.49,1.74,,4.39,1.25,2.59,1.38,0.96,2.54,1.14,1.94,1.65,,,,,,
July,5.43,0.79,4.5,3.29,4.59,2.33,2.85,2.93,1.25,2.22,4.59,6.97,5.06,2.07,0.88,,6.09,3,2.91,5.61,3.2,2.64,1.81,1.93,2.67,,,,,,
August,1.33,4.45,2.51,3.12,4.04,2.58,3.53,6.05,3.08,1.73,3.35,6.53,1.85,0.99,2.93,,0.51,0.4,3.61,1.47,0.21,3.36,2.41,2.33,2.58,,,,,,
September,2.37,1.09,2.85,2.27,4.69,4.02,1.34,4.95,1.69,0.87,4.14,2.71,3.54,0.92,1.53,,3.49,2.66,1.44,1.14,1.14,1.66,2.55,3.47,3.13,,,,,,
October,3.31,2.4,0.72,4.66,4.87,4.81,2.59,3.21,6.29,5.24,2.85,1.26,4.36,5.17,2.03,,1.68,3.09,3.45,3.14,3.89,2.54,1.89,2.6,4.19,,,,,,
November,1.39,2.77,1.3,1.89,2.16,2.32,6.59,5.32,4.84,7.84,3.59,6.67,2.09,1.05,2.61,,2.93,1.93,5.07,6.31,7.43,3.55,0.92,2.61,5.14,,,,,,
December,3.65,2.85,5.51,3.88,4.66,3.68,0.73,2.96,2.05,6.78,4.39,2.04,1.38,0.68,6.59,,4.25,3.15,4.14,2.54,2.03,1.9,3.79,1.28,1.99,,,,,,
Total,37.07,23.85,36,35.17,44.72,34.83,33.98,42.83,38.07,35.83,42.51,47.85,38.09,24.81,29.54,,41.13,35.3,30.75,35.44,35.43,38.66,29.8,29.62,29.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Buwarton Hall and the altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nor explantion for missing 1935 readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
