BURWARTON DINGLE LEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO624850,Long,-2.5548259,Lat,52.461642,Elevation,730,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2272/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.76,7.04,3.88,4.1,4.11,6.26,3.01,2.35,3.35,3.03,5.75,1.9,0.88,2.75,3.35,0.76,2.12,3.64,4.32,1.99,2.82,4.18,6.68
February,,,,,,,,0.63,1.37,3.29,3.25,0.75,1.83,1.83,2.2,3.29,3.01,1.72,1.03,5.43,3.12,0.93,2.28,2.71,2.45,0.79,2.92,5.44,0.24,3.58
March,,,,,,,,0.32,1.89,1.98,3.74,2.97,1.5,0.58,1.5,0.98,7.93,1.44,2.05,1.3,4.89,2.07,1.55,2.68,3.75,1.31,2.63,1.22,3.01,2.04
April,,,,,,,,0.19,1.92,3.57,1.79,1.55,1.21,2.12,1.26,1.79,2.61,2.81,2.42,2.39,2.68,2.52,3.43,0.28,1.31,1.61,0.2,0.47,4.04,1.43
May,,,,,,,,2.07,1.42,2.33,3.22,5.08,3.43,1.02,3.45,3.12,3.4,2.3,2.46,1.67,3.34,2.28,2.74,3.23,5.65,0.55,1.65,2.56,2.2,1.52
June,,,,,,,,2.65,1.23,0.82,2.44,1.16,1.66,1.89,4.38,3,1.54,2.74,1.28,1.63,1.07,1.94,1.92,3.71,4.56,3.26,1.41,4.02,1.42,2.46
July,,,,,,,,2.87,4.89,2.88,2.55,1.19,1.91,2.05,2.43,1.87,4.42,1.5,3.56,3.28,2.26,1.13,3.16,2.9,2.22,2.93,4.05,3.56,1.77,3.38
August,,,,,,,,4.04,1.39,0.27,3.82,2.31,2,2.6,4.04,6.24,1,5.37,1.96,4.51,4.39,4.72,3.11,4.45,0.69,5.76,5.8,2.14,2.07,4.77
September,,,,,,,,1.7,1.27,1.15,1.52,2.27,3.4,3.49,2.08,5.18,1.28,2.94,1.65,5.04,1.94,2.01,2.45,2.54,2.36,4.14,6.1,4.77,0.04,4.75
October,,,,,,,,3.53,3.32,3.32,2.31,2.13,2.71,4.22,4.46,0.81,0.58,2.72,5.56,1.08,1.43,5.64,2.08,4.56,2.03,1.75,1.74,3.4,2.86,7.57
November,,,,,,,,4.66,5.55,7.07,3.36,0.9,2.93,4.76,0.48,6.22,2.53,1.89,3.54,5.41,8.84,3.04,2.12,7.8,3.45,1.26,2.67,2.09,4.58,6.28
December,,,,,,,,4.07,2.47,1.65,2.09,3.98,1.65,2.22,3.92,3.88,3.26,6.19,2.54,2.5,3.52,3.35,1.59,2.66,3.32,4.25,2.22,3.34,6.93,4.14
Total,,,,,,,,30.49,33.76,32.21,34.19,28.4,30.49,29.79,32.55,39.73,34.59,37.37,29.95,35.12,40.23,32.98,27.19,39.64,35.43,31.93,33.38,35.83,33.34,48.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record sheet this might be about 100 yards too far east based on position of house and altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
