"YATTON (PUMPING STATION)",,,,,,,,,,,,
Grid ref,ST422659,Long,-2.832057,Lat,51.389184,,,,,,,
Station no,2041/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,2.94,0.76,2.25,3.72,3.62,2.81,2.58,3.60,3.37,,
February,4.09,0.59,1.62,4.17,1.80,0.35,3.68,3.82,0.37,2.19,,
March,4.25,2.88,0.84,3.19,1.22,0.73,2.48,0.94,3.04,2.27,,
April,3.55,1.98,3.98,0.70,1.42,1.43,0.17,1.14,2.48,2.00,,
May,2.84,4.69,1.82,1.62,3.85,0.67,1.18,3.19,1.87,1.42,,
June,0.64,2.88,2.17,3.17,3.52,2.27,1.67,3.03,1.17,1.97,,
July,1.51,1.07,4.37,3.94,0.12,2.44,4.73,2.05,3.21,6.58,,
August,5.56,6.44,5.33,3.25,0.44,5.00,2.45,2.77,3.29,5.21,,
September,2.36,3.04,3.90,6.02,2.19,3.80,3.85,6.34,0.21,4.61,,
October,0.87,4.34,2.89,4.31,1.87,1.68,3.93,3.19,3.94,7.58,,
November,7.30,4.34,2.54,5.99,3.57,0.99,2.81,2.34,4.67,5.07,,
December,2.41,2.56,1.27,2.42,4.13,3.39,2.85,3.93,7.40,4.50,,
Total,39.08,37.75,31.49,41.03,27.85,26.37,32.61,35.32,35.25,46.77,,
Calc annual,39.08,37.75,31.49,41.03,27.85,26.37,32.61,35.32,35.25,46.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
