YATTON-PUMPING-STN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST422658,Long,-2.83195,Lat,51.38855,Elevation,17,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2041/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.29,0.73,3.66,3.15,4.59,4.87,2.67,3.26,2.93,5.81,2.02,2.17,2.94,2.33,5.74,0.92,0.57,3.7,2.94,0.76,2.25,3.72,3.62,2.81,2.58,3.6,3.37
February,,,,0.37,2.52,2.09,4.92,1.31,1.9,1.97,3.11,0.18,,0.7,3.48,2.63,1.48,1.61,1.27,4.88,4.09,0.59,1.62,4.17,1.8,0.35,3.68,3.82,0.37,2.19
March,,,,1.96,0.6,2.71,3.01,0.37,1.39,2.68,3.18,1.89,1.06,0.33,1.11,0.89,5.94,1.52,1.17,1.45,4.25,2.88,0.84,3.19,1.22,0.73,2.48,0.94,3.04,2.27
April,,,,2.18,4.03,2.62,2.59,0.12,2.98,2.3,1.05,1.11,1.06,2.78,1.09,2.25,2.28,1.74,2.1,2.04,3.55,1.98,3.98,0.7,1.42,1.43,0.17,1.14,2.48,2
May,,,,1.47,1.21,2.14,2.09,2.23,1.23,2.67,1.83,3.44,2.3,1.22,4.3,4.54,2.58,3.55,3.58,1.7,2.84,4.69,1.82,1.62,3.85,0.67,1.18,3.19,1.87,1.42
June,,,1.23,1.22,3.23,3.81,1.1,1.04,1.99,0.74,2.21,0.35,1.47,3.62,3.35,3.57,1.85,2.37,0.68,1.87,0.64,2.88,2.17,3.17,3.52,2.27,1.67,3.03,1.17,1.97
July,,,1.68,0.82,0.84,5.02,4.25,3.05,4.87,5.71,2.2,3.25,2,2.33,2.19,2.22,2.56,1.8,1.9,4.69,1.51,1.07,4.37,3.94,0.12,2.44,4.73,2.05,3.21,6.58
August,,,2.74,3.81,2.14,0.76,1.34,5.12,4.36,0.28,5.66,5.59,3.58,2.45,2.43,7.34,1.09,4.84,3.09,6.9,5.56,6.44,5.33,3.25,0.44,5,2.45,2.77,3.29,5.21
September,,,2.11,2.97,6.99,3.1,1.59,2.17,0.89,2.1,1.06,1.65,4.23,4.28,2.6,3.81,1.39,2.99,3.17,6.25,2.36,3.04,3.9,6.02,2.19,3.8,3.85,6.34,0.21,4.61
October,,,3.28,2.12,6.02,1.98,4.3,6.08,2.15,3.81,1.41,3.68,2.83,3.74,4.09,0.8,0.51,5.25,7.5,1.7,0.87,4.34,2.89,4.31,1.87,1.68,3.93,3.19,3.94,7.58
November,,,0.61,1.38,6.67,3.43,2.12,4.54,7.06,7.76,1.99,1.35,,5.89,1.22,5.01,2.94,2.06,3.78,6.91,7.3,4.34,2.54,5.99,3.57,0.99,2.81,2.34,4.67,5.07
December,,,1.47,7.89,3.89,2.66,1.84,3.41,2.12,1.94,2.11,3.05,2.06,2.55,4.99,2.87,2.95,3.94,2.36,2.23,2.41,2.56,1.27,2.42,4.13,3.39,2.85,3.93,7.4,4.5
Total,,,,28.48,38.87,33.98,32.3,34.03,35.81,34.63,29.07,28.47,,31.91,33.02,38.87,27.9,37.41,31.52,41.19,39.08,37.75,31.49,41.03,27.85,26.37,32.61,35.32,35.25,46.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Feb Nov Estimated by ref to other stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 4 Inspection Gauge sound Concrete around it Measure Camden Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
