"FOFANNY RESERVOIR",,,,,,,,,,,,
Grid ref,IJ2855029151,Long,-6.030873,Lat,54.195316,,,,,,,
Station no,6198,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.30,3.90,,
February,,,,,,,,,3.01,3.32,,
March,,,,,,,,,10.17,6.88,,
April,,,,,,,,,6.55,11.69,,
May,,,,,,,,,4.21,2.57,,
June,,,,,,,,,3.08,3.77,,
July,,,,,,,,,5.91,5.07,,
August,,,,,,,,,6.72,2.84,,
September,,,,,,,,2.38,9.13,3.16,,
October,,,,,,,,9.72,7.64,11.49,,
November,,,,,,,,6.55,5.32,1.71,,
December,,,,,,,,8.70,8.48,7.65,,
Total,,,,,,,,,74.52,64.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.35,74.52,64.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
