MOURNE MOUNTAINS (FOFFANNY RESERVOIR) - check gauge,,,,,,,,,,
Grid ref,IJ285291,Long,-6.031665,Lat,54.194871,Elevation,940,ft,,
Station no,6198,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.55,8.82,3.51,7.14
February,,,,,,,6.21,4.93,2.38,8.58
March,,,,,,,6.71,3.3,6.07,6.86
April,,,,,,,1.82,1.69,4.24,6.49
May,,,,,,,3.38,6.96,2.47,3.2
June,,,,,,5.85,1.38,10.18,1.86,4.64
July,,,,,,5.11,7.8,5.45,3.78,10.01
August,,,,,,9.77,6.04,9.2,1.65,5.55
September,,,,,,7.01,6.96,11.72,3.72,5.4
October,,,,,,3.73,5.65,4.24,6.75,14.94
November,,,,,,2.61,3.86,2.49,8.35,9.18
December,,,,,,11.14,10.18,8.06,14.82,5.14
Total,,,,,,,69.54,77.04,59.6,87.13
,,,,,,,,,,
,,,,,,,,,,
1954 incorrect addition on record Feb=4.93 not 4.73 as transcribed,,,,,,,,,,
