"MOURNE MOUNTAINS (FOFANNY RESERVOIR)",,,,,,,,,,,,
Grid ref,IJ285291,Long,-6.031665,Lat,54.194871,,,,,,,
Station no,6198,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.18,7.04,1.42,4.31,8.70,6.32,11.94,10.82,4.12,7.90,,
February,8.21,1.32,2.64,11.36,10.07,1.32,8.25,5.68,2.73,9.65,,
March,5.86,5.14,0.53,10.28,4.28,5.63,9.34,4.35,7.21,7.53,,
April,3.37,4.39,3.39,0.86,5.83,2.07,2.09,2.02,5.04,7.14,,
May,5.48,2.42,5.74,8.60,6.83,1.45,3.98,7.67,2.89,3.14,,
June,3.90,3.12,2.70,-999.00,8.22,4.31,1.60,11.61,2.28,4.88,,
July,4.52,2.08,7.22,5.20,2.27,5.87,9.42,6.26,4.51,10.68,,
August,10.28,7.09,6.09,4.79,2.52,10.94,7.00,10.40,1.91,5.91,,
September,8.35,2.15,7.57,12.55,4.17,7.80,9.11,13.75,4.04,5.35,,
October,0.88,14.44,5.99,11.49,4.54,4.36,6.70,4.57,7.54,15.45,,
November,21.79,5.04,8.73,17.93,6.06,2.96,4.65,3.00,9.23,9.94,,
December,8.54,5.16,7.47,7.04,10.07,12.74,12.78,9.12,15.71,5.57,,
Total,89.36,59.39,59.49,-999.00,73.56,65.77,86.86,89.25,67.21,93.14,,
Calc annual,89.36,59.39,59.49,94.41,73.56,65.77,86.86,89.25,67.21,93.14,,
Difference,0.00,0.00,0.00,-1093.41,0.00,0.00,0.00,0.00,-0.00,0.00,,
