FONTMELL-MAGNA-(5IN-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST866168,Long,-2.19193,Lat,50.95049,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.47,1.38,5.16,2.71,3.14,2.9,2.92,0.7,4.87,6.82,2.91,6.07,3.08,3.74,4.25,7.29,1.98,1.83,,,,,
February,,,,,,,,,2.26,0.99,1.15,1.95,0.05,5.03,0.03,4.03,2.8,4.94,0.87,1.82,3.15,3.72,0.28,1.37,0.71,1.66,,,,,
March,,,,,,,,,2.33,0.14,1.49,0.93,1.72,3.58,3.19,0.93,3.81,4.84,0.17,1.29,2.51,3.41,2.46,0.67,0.34,0.88,,,,,
April,,,,,,,,,1.8,0.68,2.19,2.36,3.23,1.45,2.16,4.07,1.68,1.65,0,1.99,1.23,1.65,1.58,0.75,1.67,0.51,,,,,
May,,,,,,,,,1.64,2.32,1.74,2.61,4.23,1.56,0.97,1.05,0.53,2.56,2.08,0.65,1.15,2.51,3.52,2.67,0.73,2.92,,,,,
June,,,,,,,,,2.63,1.69,0.46,3.42,2.44,1.95,1.04,3.34,1.98,0.6,0.92,1.3,0.48,3.21,0.41,1.04,2.01,2.95,,,,,
July,,,,,,,,,1.85,1.57,1.94,4.42,2.72,1.61,0.61,0.65,4.61,2.33,3.07,4.79,2.65,1.5,1.17,1.94,2.67,1.01,,,,,
August,,,,,,,,,2.93,1.37,3.43,4.54,0.83,0.94,3.24,2.46,0.12,0.99,2.45,4.68,0.18,3.1,3.56,2.15,2.14,1.79,,,,,
September,,,,,,,,,1.88,0.44,3.99,1.45,3.75,2.22,3.11,3.05,2.92,3.58,1.96,0.96,1.19,0.69,2.32,3.01,1.61,3.11,,,,,
October,,,,,,,,,6.08,5.58,2.6,0.43,5.38,2.34,1.83,4.66,1.62,5.33,2.74,4.98,4.01,1.06,3.59,4.2,3.91,3.15,,,,,
November,,,,,,,,,2.96,8.78,5.18,5.37,2,0.79,1.84,7.36,3.13,1.52,4.57,6.37,8.72,2.39,1.68,2.32,5.99,0.72,,,,,
December,,,,,,,,,2.1,7.82,3.9,1,1.87,1.08,8.91,4.81,3.74,4.97,4.37,1.47,2.66,1.75,5.06,3.02,2.63,3.97,,,,,
Total,,,,,,,,,31.93,32.76,33.23,31.19,31.36,25.45,29.85,37.11,31.81,40.13,26.11,36.37,31.01,28.73,29.88,30.43,26.39,24.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Jan 1st Gauge moved 100yrds NW to Knapp Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation very similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Feb in brackets possibly due to snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
