"BULWELL SPRINGFIELD",,,,,,,,,,,,
Grid ref,SK544463,Long,-1.190650,Lat,53.011252,,,,,,,
Station no,RR3193,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.74,1.59,1.35,2.04,2.97,1.00,3.52,1.02,1.06,,,
February,3.84,1.42,1.82,0.81,2.93,0.80,2.62,1.74,1.67,,,
March,0.75,1.94,1.39,3.37,1.67,2.45,1.46,1.43,2.82,,,
April,1.13,1.18,2.16,1.90,1.29,1.43,0.59,1.91,2.16,,,
May,1.31,0.76,2.21,2.89,1.49,0.35,1.63,2.88,1.99,,,
June,3.15,2.07,1.73,1.48,0.37,2.91,1.59,2.60,2.63,,,
July,1.89,4.63,1.35,2.18,2.36,1.20,0.33,2.14,3.32,,,
August,5.22,1.55,3.76,5.62,2.64,3.17,1.03,2.24,3.18,,,
September,0.12,1.15,0.98,3.18,1.57,1.57,1.08,0.64,1.49,,,
October,2.51,1.60,2.67,6.15,0.37,1.46,5.26,4.98,0.88,,,
November,2.62,2.27,1.73,1.90,1.18,2.33,2.93,2.09,1.03,,,
December,4.21,5.85,1.78,0.76,1.70,0.54,2.73,2.78,1.57,,,
Total,31.49,26.01,22.93,32.28,20.54,19.21,24.77,26.45,23.80,,,
Calc annual,31.49,26.01,22.93,32.28,20.54,19.21,24.77,26.45,23.80,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
