BEACONSFIELD-THE-MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU942905,Long,-0.64116537,Lat,51.605468,Elevation,350,ft,,,,,,,,,,,,
Station no,1013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.59,2.28,1.78,0.76,4.38,4.29,3.8,5.58,2.55,3.2,3.45,5.05,1.91,1.81,2.33,2.2,5.39,1.17,0.8
February,,0.19,2.67,0.15,2.73,2.09,4.58,0.57,1.28,2.42,2.92,1.01,1.51,1.54,2.28,3.16,1.34,1.19,1.43,4.2
March,,1.59,3.15,2.56,0.71,1.49,3.19,0.45,1.6,2.84,3.03,2.06,0.46,0.29,0.68,1.1,5.73,0.74,1.54,1.04
April,,2.54,1.26,1.39,3.97,1.71,2.97,0.13,3.38,2.88,2.03,1.47,1.03,1.89,1.36,1.8,1.83,1.65,1.45,2.16
May,,4.87,1.48,0.51,0.93,0.46,3.2,2.07,1.57,1.58,1.71,3.69,2.44,0.88,2.78,4.38,1.53,2.94,2.47,1.67
June,,0.75,2.48,0.84,4.51,4.11,1.87,0.61,1.65,0.63,1.69,0.39,1.72,1.6,2.66,2.73,2.65,2.54,0.45,1.4
July,3.34,2.01,1.53,1,0.53,3.77,1.9,1.69,3.66,2.21,5,2.15,2.16,1.68,2.6,1.63,1.81,1.26,1.46,5.4
August,4.85,2.47,0.57,2.26,2.15,0.47,1.75,2.2,2.45,0.01,5.42,2.8,2.16,2.98,1.29,4.91,0.25,2.7,1.36,3.55
September,1.97,2.84,2.22,1.97,4.71,3.98,3.26,1.43,0.74,1.42,0.34,1.46,1.78,2.96,2.09,4.2,1.31,2.22,1.18,3.71
October,0.81,4.68,1.6,2.03,3.63,2,2.83,3.63,4.22,3.55,0.98,3.63,3.63,3.76,3.31,1.25,0.16,2.36,6.75,0.56
November,3.11,1.94,1.08,2.01,5.49,3.91,1.43,3.52,5.91,7.5,2.77,1.71,1.87,4.63,0.2,5.73,1.42,2.11,3.05,5.2
December,0.92,0.68,0.56,6.76,3.07,1.93,3.59,3.2,1.58,1.71,1.98,3.23,1.44,1.74,2.92,3.2,2.51,3.49,1.66,1.37
Total,,26.15,20.88,23.26,33.19,30.3,34.86,23.3,33.62,29.3,31.07,27.05,25.25,25.86,23.98,36.42,22.74,28.59,23.97,31.06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved Jun 1931,,,,,,,,,,,,,,,,,,,,
