BEACONSFIELD-THE-MANSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU9489189992,Long,-0.6313278,Lat,51.600786,Elevation,375,ft,,,,,,,,,,,,,
Station no,1013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.36,1.71,,,,,,,,,
February,,,,,,,,,,,0.67,1.79,,,,,,,,,
March,,,,,,,,,,,1.74,0.12,,,,,,,,,
April,,,,,,,,,,,2.61,3.18,,,,,,,,,
May,,,,,,,,,,,2.62,2.75,,,,,,,,,
June,,,,,,,,,,,0.95,,,,,,,,,,
July,,,,,,,,,,,2.61,,,,,,,,,,
August,,,,,,,,,,,3.52,,,,,,,,,,
September,,,,,,,,,,0.86,2.86,,,,,,,,,,
October,,,,,,,,,,3.47,1.07,,,,,,,,,,
November,,,,,,,,,,7.12,4.28,,,,,,,,,,
December,,,,,,,,,,5.13,2.78,,,,,,,,,,
Total,,,,,,,,,,,29.07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved Jun 1931,,,,,,,,,,,,,,,,,,,,,
