"LOCH SHURRERY",,,,,,,,,,,,
Grid ref,ND042567,Long,-3.644901,Lat,58.487942,,,,,,,
Station no,5815/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.64,6.12,4.40,,
February,,,,,,,,2.84,0.76,3.10,,
March,,,,,,,,1.09,1.02,1.25,,
April,,,,,,,,1.71,2.44,1.51,,
May,,,,,,,,5.29,2.59,0.59,,
June,,,,,,,,1.73,1.29,2.10,,
July,,,,,,,,1.52,2.78,3.68,,
August,,,,,,,,3.54,2.15,4.69,,
September,,,,,,,,1.24,1.82,2.68,,
October,,,,,,,2.86,4.20,5.26,4.76,,
November,,,,,,,2.81,2.38,7.08,3.68,,
December,,,,,,,5.92,3.25,5.36,3.43,,
Total,,,,,,,,33.43,38.67,35.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.59,33.43,38.67,35.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
