ASKHAM BRYAN (EXPTL. FARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE552475,Long,-1.160987,Lat,53.920707,Elevation,91,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3319/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.97,2.78,2.32,3.82,2.21,2.49,2.53,3.28,2.51,2.5,1.93,2.29,4.66,0.67,1.23,3.45,1.6,0.51,1.34,1.32,3.95,1.1,2.32,2.22,5.11
February,,,,,,2.1,3.1,1.17,1.58,1.54,2.67,1.52,0.4,1.43,2.19,1.69,1.98,1.14,0.68,3.86,2.48,0.34,1.68,2.32,1.58,2.19,2.5,4.01,0.19,1.5
March,,,,,,1.09,2.22,0.27,1.61,1.81,1.85,1.55,0.41,0.3,0.71,0.51,4.05,0.69,1.07,1.05,2.77,2.03,0.28,1.64,2,1.33,1.72,2,0.79,1.23
April,,,,,,1.44,2.98,0.08,1.04,1.71,1.32,1.47,1.29,2.55,1.05,1.72,1.61,1.57,2.06,2.9,0.82,1.16,1.37,0.29,1.16,2.45,0.34,0.56,3.31,0.97
May,,,,,,1.4,3.36,3.43,0.91,1.76,1.34,2.71,2.14,1.11,1.71,1.06,1.68,1.03,1.94,1.53,4.96,1.39,2.22,3.27,2.75,0.62,1.04,3.78,0.54,0.7
June,,,,,,3.58,1.61,2.18,1.57,0.48,0.53,1.14,1.33,3.21,2.18,1.69,2.39,2.7,0.4,0.78,1,1.61,1.37,2.74,2.45,2.44,2.21,3.18,2.38,0.56
July,,,,,,2.95,2.17,2.47,3.28,6.13,2.66,1.87,1.07,2.17,1.1,2.43,1.86,1.34,2.39,1.77,2.5,1.39,1.52,1.63,1.04,3.04,3.35,3.16,1.4,4.93
August,,,,,,1.37,1.7,2.69,1.26,0.68,2.58,3.54,2.52,3.43,2.22,3.14,0.31,3.78,1.87,4.14,5.28,1.88,2.8,6.56,0.8,6.64,3.87,1.89,0.4,2.51
September,,,,,,1.88,0.96,2.06,0.94,1.13,0.32,1.95,3.03,4.12,2.26,3.85,1.44,1.02,0.58,2.48,1.91,3.35,1.49,1.7,1.27,2.32,3.41,2.46,0.12,3.41
October,,,,,,1.48,2.46,3.32,1.93,2.94,2.4,2.11,1.52,2.7,3.33,0.75,0.81,1.06,2.52,1.11,1.8,2.84,1.63,3.38,1.67,1.27,2.02,1.35,1.82,6.19
November,,,,,3.67,2.76,1.91,2.63,2.98,3.36,2.79,1.12,1.9,3.5,0.39,5.02,1.28,0.96,2.8,3.37,5.57,1.56,2.15,4.72,2,0.57,1.7,0.71,2.87,4.31
December,,,,,2.3,1.14,2,3.68,1.58,1.71,0.53,1.59,1.17,1.56,1.6,2.07,1.93,2.03,1.43,1.43,2.04,1.56,1.22,2.1,3.29,2.29,2.65,3.54,2.95,2.04
Total,,,,,,24.16,27.25,26.3,22.5,25.46,21.48,23.1,20.06,28.59,21.24,25.86,21.63,21.98,18.41,25.65,34.58,20.71,18.24,31.69,21.33,29.11,25.91,28.96,18.99,33.46
