ELLESMERE-PORT-THE-REFINERY,,,,,,,,,,
Grid ref,SJ424759,Long,-2.8652688,Lat,53.276936,Elevation,15,ft.,,
Station no,2782/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.13,1.09,1.84,1.86,4.26,1.23,2.51,2.96,4.49
February,,0.96,1.09,2.84,1.81,0.26,1.75,3.73,0.18,1.61
March,,1.38,0.78,1.88,1.9,1.21,1.73,1.36,0.96,1.24
April,1.52,1.78,2.06,0.72,2.3,2.4,0.65,0.39,2.53,1.06
May,2.39,1.83,2.22,2.33,2.25,0.87,1.6,1.85,1.83,1.81
June,0.88,1.85,1.35,3.22,3.15,1.9,1.08,4.23,2.85,1.16
July,1.65,1.61,2.75,3.29,0.47,5.22,3.66,3.02,2.57,3.1
August,5.03,1.05,2.18,3.71,1.12,8.68,3.65,2.89,1.39,3.83
September,2,3.26,2.43,2.43,2.17,2.13,6.82,4.54,0.19,3.31
October,0.66,3.94,2.07,4.46,1.93,2.13,2.09,2.77,1.97,3.21
November,6.4,2.27,2.35,4.94,1.6,1.62,1.2,1.63,4.29,4.4
December,3.59,3.09,1.3,3,2.94,1.97,2.5,2.83,4.29,2.76
Total,,26.15,21.67,34.66,23.5,32.65,27.96,31.75,26.01,31.98
,,,,,,,,,,
NGR is from the 1950s record and is an Oil Refinery. Altitudes match,,,,,,,,,,
