BROOKLAND-THRIFT-FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ998264,Long,0.84631193,Lat,51.002287,Elevation,11,ft,,,,,,,,,,,,,
Station no,250,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.72,2.67,3.25,1.33,2.32,3.18,3.12,2.44,4.3,1.31,2.68,2.35,2.63,2.76,2.67,1.28,,,,,
February,0.7,0.35,2.11,4.18,0.68,3.92,3.2,3.29,1.44,0.69,1.42,2.5,0.06,1.63,0.03,3.81,,,,,
March,0.98,1.04,1.96,2.2,1.85,1.04,0.36,2.42,1.65,0,2.17,0.08,0.96,1.69,2.55,0.74,,,,,
April,1.9,1.29,3,2.02,3.04,2.39,3.36,1.88,2.31,1.12,1.36,3.19,2.5,0.83,2.18,3.9,,,,,
May,0.93,1.66,0.63,3.22,3.15,2.89,2.27,0.25,2.03,1.89,3.72,1.79,2.56,1.55,0.66,1.37,,,,,
June,0.73,0,1.22,0.48,1.48,0.09,2.82,3.94,2.12,1.23,1.2,0.67,1.62,1.08,1.36,3.3,,,,,
July,3.03,0.21,1.99,0.77,3.21,3.42,1.36,4.37,1.29,1.2,3.82,2.3,3.4,1.35,1.33,0.38,,,,,
August,1.6,1.29,2.03,1.76,2.6,1.08,1.15,3.51,1.35,2.42,2.43,3.56,0.53,0.98,2.19,4.29,,,,,
September,3.32,0.59,3.17,1.74,2.19,2.45,0.58,3.89,0.35,1.01,3.41,1.66,1.99,4.44,1.06,4.42,,,,,
October,1.14,0.32,2.35,6.74,3.99,3.78,3.19,1.82,7.32,3.52,2.11,0.68,7.7,1.65,2.06,,,,,,
November,1.72,2.22,2.24,2.42,3.15,3.43,6.59,3.43,4.71,6.86,6.08,3.85,1.21,1.92,3.52,,,,,,
December,4.16,1.98,3.95,3.72,5.32,4.79,0.87,4.99,2.81,9.29,2.98,0.67,0.32,0.4,7.15,,,,,,
Total,23.93,13.62,27.9,30.58,32.98,32.46,28.87,36.23,31.68,30.54,33.38,23.3,25.48,20.28,26.76,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1935 Oct-Dec estimated,,,,,,,,,,,,,,,,,,,,,
1935 Oct Gauge moved to Dean Court Brooklands,,,,,,,,,,,,,,,,,,,,,
