"AMPSHILL HIGHAM BURY",,,,,,,,,,,,
Grid ref,TL051329,Long,-0.470994,Lat,51.984626,,,,,,,
Station no,RR1824,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,0.72,0.52,2.51,2.30,0.88,3.29,1.20,1.57,0.82,,
February,4.10,0.88,1.12,0.94,2.68,0.85,1.78,0.99,1.13,0.40,,
March,1.05,2.90,1.16,2.64,1.39,2.58,1.57,1.02,3.00,3.14,,
April,1.23,2.41,0.67,1.33,1.09,1.78,0.85,2.30,3.26,1.52,,
May,1.20,1.24,2.21,3.48,1.59,1.27,1.61,3.17,1.79,1.49,,
June,2.64,1.18,2.83,5.65,0.77,3.88,4.10,2.18,1.27,3.80,,
July,1.97,2.44,1.47,3.85,3.87,0.88,0.29,1.57,2.85,2.94,,
August,3.43,1.68,2.76,3.35,2.22,2.83,1.11,2.07,2.82,2.19,,
September,0.47,1.31,0.90,2.22,1.29,1.40,0.97,0.65,2.29,2.06,,
October,2.25,1.47,1.49,6.11,1.21,1.27,3.99,3.98,2.23,4.62,,
November,1.90,0.98,1.58,2.00,1.48,1.99,4.15,1.91,0.88,1.11,,
December,2.50,3.48,1.46,1.61,1.89,0.93,2.13,3.48,1.53,2.55,,
Total,25.94,20.69,18.17,35.69,21.78,20.54,25.84,24.52,24.62,26.64,,
Calc annual,25.94,20.69,18.17,35.69,21.78,20.54,25.84,24.52,24.62,26.64,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
