TALLA LINNS FOOT FARM EDINBURGH W.W. NO 6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT135204,Long,-3.369819,Lat,55.469753,Elevation,966,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.23,2.91,3.25,6.37,6.85,3.48,5.75,10.17,6.83,2.73,8.42,2.36,5.79,6.85,4.88,4.2,6.73,8.7,4.47,4.3,9.47,3.77,6.45,6.03,8.95,10.75,,,,,,,,,
February,,,,,,,3.08,6.36,4.76,6.19,5.28,2.28,2.26,11.35,4.5,3.43,4.2,4.02,3.06,2.47,10.4,6.71,5.64,4.59,12.93,12.6,6.14,1.06,8.59,1.29,6.22,0.77,,,,,,,,,
March,,,,,,,6.09,10.9,2.1,6.07,0.98,4.04,3.47,18.66,5.08,9.19,3.58,4.88,9.29,7.51,8.04,3.23,8.54,8.6,9.04,2.26,4.36,3.15,2.2,5.06,10.4,10.49,,,,,,,,,
April,,,,,,,1.98,4.66,6.45,5.17,4.59,6.42,4.76,1.83,6,4.48,2.14,3.9,2.41,4.42,5.95,6.44,1.16,8.61,3.38,3.58,5.13,2.8,1.05,4.96,4.81,1.65,,,,,,,,,
May,,,,,,,0.54,3.35,2.89,4.35,6.2,3.02,3.17,4.04,4.13,3.17,7.47,6.71,3.02,3.13,2.6,5.52,1.73,5.76,3.65,2.03,5.61,3.8,3.45,1.61,8.18,3.99,,,,,,,,,
June,,,,,,,5.26,5.38,3.07,2.05,6.23,5.13,1.51,2.46,4.68,2.54,2.69,6.19,4.1,3.03,2.05,3.99,8.18,4.11,3.68,1.28,3.83,3.61,1.84,4.73,2.15,0.87,,,,,,,,,
July,,,,,,,5.92,4.18,1.75,4.02,3.87,1.44,3.45,5.41,4.73,3.71,3.31,4.4,3.49,6.39,6.95,2.37,4.92,0.91,3.26,6.31,6.11,2.34,4.12,1.44,5.17,4.45,,,,,,,,,
August,,,,,,,2.84,10.12,5.26,2.3,6.64,7.09,2.92,7.93,6.42,6.39,8.84,6.39,5.64,3.47,9.11,3.78,6.32,2.25,4.35,3.25,5.15,9.92,3.34,3.42,5.12,7.82,,,,,,,,,
September,,,,,,,7.1,4.44,5.55,5.51,4.44,6.48,4.19,4.77,4.2,3.13,1.43,0.9,7.42,3.14,1.24,2.03,3.5,3.56,2.56,1.73,3.22,4.66,9.33,4.53,2.36,2.38,,,,,,,,,
October,,,,,,,6.82,4.97,7.3,4.87,6.73,6.44,3.66,13.96,3.16,4.27,9.51,11.11,2.53,12.35,4.84,4.86,5.54,6,2.9,3.08,9.68,9.05,10.03,3.73,3.68,4.63,,,,,,,,,
November,,,,,,,2.43,5.1,7.27,12.34,7.1,4.98,6.3,4.48,2.63,8.11,5.52,4.98,4.24,2.65,3.88,9.93,4.66,6.17,8.83,3,9.26,6.7,7.07,5.65,3.46,3.03,,,,,,,,,
December,,,,,,,8.55,13.53,9.12,3.91,12.03,5.56,9.63,5.91,5.28,4.41,3.37,7.25,3.63,6.42,8.97,14.26,13.21,4.99,14.45,11.3,5.45,2.82,5.58,10.44,7.48,6.95,,,,,,,,,
Total,,,,,,,53.84,75.9,58.77,63.15,70.94,56.36,51.07,90.97,57.64,55.56,60.48,63.09,54.62,61.83,68.91,67.32,70.13,64.25,73.5,54.72,73.41,53.68,63.05,52.89,67.98,57.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_23_pt1-page-084.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_27_pt1-page-112.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_25_pt1-page-188.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_29_pt1-page-133.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
