"TALLA LINNS FOOT EDINBURGH WW NO 6",,,,,,,,,,,,
Grid ref,NT135204,Long,-3.369819,Lat,55.469753,,,,,,,
Station no,5071,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.85,3.50,5.75,10.19,6.83,2.66,8.10,2.26,5.74,6.80,,
February,5.30,2.69,2.30,11.35,4.50,3.30,4.08,3.79,3.01,2.40,,
March,0.96,4.02,3.40,18.66,4.89,9.00,3.50,4.69,9.17,7.23,,
April,4.58,6.42,4.77,1.83,5.84,4.33,2.07,3.80,2.34,4.30,,
May,6.20,2.98,3.15,4.04,3.95,3.05,7.27,6.56,2.91,3.06,,
June,6.23,5.12,1.45,2.46,4.55,2.51,2.60,6.07,4.01,2.93,,
July,4.03,1.61,3.95,5.41,4.64,3.58,3.23,4.30,3.43,6.28,,
August,6.64,7.05,2.92,7.93,6.26,6.19,8.68,6.32,5.60,3.36,,
September,4.45,6.67,4.18,4.77,4.15,2.99,1.41,0.90,7.28,3.07,,
October,6.92,6.43,3.66,13.96,2.96,4.12,9.38,10.98,2.49,12.20,,
November,7.18,4.98,6.33,4.48,2.55,7.91,5.43,4.93,4.15,2.62,,
December,12.02,5.58,9.62,5.91,5.16,4.28,3.20,7.20,3.59,6.32,,
Total,71.36,57.05,51.48,90.99,56.28,53.92,58.95,61.80,53.72,60.57,,
Calc annual,71.36,57.05,51.48,90.99,56.28,53.92,58.95,61.80,53.72,60.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
