KELSO,,,,,,,,,,
Grid ref,NT727338,Long,-2.4339,Lat,55.5974,Elevation,120,ft,,
Station no,RR2223,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,2.67,3.41,2.05,1.79,1.38,,,,,
February,1.08,1.36,1.05,2.6,,,,,,
March,0.77,1.26,2.66,1.13,,,,,,
April,0.12,1.58,0.15,1.89,,,,,,
May,3.52,1.46,1.75,3.51,,,,,,
June,1.79,1.99,1.23,1.38,,,,,,
July,3.6,2.24,1.63,2.5,,,,,,
August,1.6,3.95,1.89,2.03,,,,,,
September,2.71,2.77,3.24,0.57,,,,,,
October,2.24,6.17,1.55,3,,,,,,
November,2.48,2.62,1.66,1.6,,,,,,
December,0.85,1.83,,0.29,,,,,,
Total,23.43,30.64,,22.29,,24.42,,,,
,,,,,,,,,,
Record has no indication re location other than elevation,,,,,,,,,,
NGR  given for gardens of Ednam House off Bridge Street at approx elevation recorded.,,,,,,,,,,
"Given elevation, location is in this part of the town.",,,,,,,,,,
