HEREFORD QUARRY HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO523414,Long,-2.697289,Lat,52.068904,Elevation,190,ft,,,,,,,,,,,,
Station no,RR7780,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.74,0.99,2.58,0.88,4.2,3.56,0.64,,,,,
February,,,,,,,,,0.74,0.43,3.79,1.38,1.78,1.33,2.57,,,,,
March,,,,,,,,,3.48,2.55,0.57,1.67,4.23,5.49,2.06,,,,,
April,,,,,,,,,2.9,2.1,2.23,0.99,0.26,4.39,1.32,,,,,
May,,,,,,,,,1.79,1.01,2.12,1.86,2.51,2.27,1.48,,,,,
June,,,,,,,,,1.16,1.83,4.67,2.33,4.45,0.54,2.78,,,,,
July,,,,,,,,,1.71,2.7,1.7,0.19,3.33,0.9,3.43,,,,,
August,,,,,,,,,2.61,1.43,4.71,3.33,7.07,1.37,1.27,,,,,
September,,,,,,,,,1.81,3.08,0.62,1.55,0.89,3.13,1.31,,,,,
October,,,,,,,,,2.17,2.94,3.42,1.84,3.06,4.43,2.14,,,,,
November,,,,,,,,,1.34,1.07,3.7,2.89,1.45,2.57,2.56,,,,,
December,,,,,,,,,2.78,4.15,5.85,7.36,3.25,0.89,5.66,,,,,
Total,,,,,,,,,23.23,24.28,35.96,26.27,36.48,30.87,27.22,,,,,
