NANTWICH (DORFOLD HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ636525,Long,-2.544688,Lat,53.068489,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,3.8,1.48,0.6,3.66,1.47,2.96,1.51,2.34,3.59,1.34,1.5,1.48,3.3,3.08,0.88,1.51,3.05,,,,,,
February,,,,,,,,0.54,0.87,2.29,0.52,0.03,0.9,2.75,1.96,0.08,1.43,2.32,1.97,1.1,2.91,1.64,1.06,1.59,,,,,,
March,,,,,,,2.18,1.48,1.54,2.6,1.34,1.57,0.99,0.56,1.26,2.64,2.5,1.75,0.67,1.18,1.15,1.97,1.64,4.04,,,,,,
April,,,,,,,1.67,0.98,1.25,3.69,1.23,1.62,1.35,0.54,1.4,2.39,1.31,1.74,1.03,2.16,0.97,1.92,2.03,1.71,,,,,,
May,,,,,,,6.39,1.76,0.78,2.26,2.33,4.38,2.71,1.78,3.11,0.67,0.44,0.96,2.96,2.28,1.5,1.13,2.89,3.24,1.89,,,,,
June,,,,,,,1.34,1.28,2.27,0.45,2.46,5.08,2.99,2.09,2.5,1.76,3.34,3.06,1.49,1.77,2.89,2.25,1.78,1.39,1.26,,,,,
July,,,,,,,2.79,1.3,4.98,2.92,2.37,1.44,2.55,1.61,2.61,3.88,1.76,0.7,0.87,2.22,2.54,3.38,1.53,4.5,2.96,,,,,
August,,,,,,,0.96,0.91,3.23,4.95,3.5,4.4,2.79,2.41,3.39,3.36,3.33,2.69,4.89,1.26,5.9,3.21,2.9,4,4.18,,,,,
September,,,,,,,2.86,3.11,1.26,3.87,0.88,3.04,3.56,2.3,0.45,0.88,3.14,3.66,0.54,2.6,0.81,0.88,0.87,3.93,2.12,,,,,
October,,,,,,,4.24,3.65,1.46,2.17,2.19,4.49,5.64,1.86,3.56,2.4,3.19,1.7,3.44,3.07,3.22,2.48,3.25,5.53,1.06,,,,,
November,,,,,,,2.54,1.08,3.86,1.46,6.64,2.39,2.03,1.3,2.05,2.92,1.38,3.62,1.28,1.05,1.71,2.66,1.57,2.64,1.45,,,,,
December,,,,,,,4.91,2.3,2.32,2.29,0.55,3.58,2.95,3.75,2.2,2.35,2.83,2.57,2.94,2.23,2.19,3.95,1.99,1.07,1.79,,,,,
Total,,,,,,,33.88,22.19,25.3,29.55,27.67,33.49,31.42,22.46,26.83,26.92,25.99,26.27,23.56,24.22,28.87,26.35,23.02,36.69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
