BRIXWORTH-HALL,,,,,,,,,,
Grid ref,SP748709,Long,-0.90374534,Lat,52.331101,Elevation,400,ft,,
Station no,RR8240,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.38,1.1,2.32,1.8,2.04,2.14,
February,,,,0.8,1.48,2.32,4,1.05,1.35,
March,,,,2.84,2.48,1.25,4.51,1.47,0.87,
April,,,,2.94,0.76,0.59,0.96,1.45,2.92,
May,,,,1.8,0.99,1.76,1.68,2,1.9,
June,,,,0.71,3.17,0.49,1.68,3.12,0.49,
July,,,,1.3,2.57,3.98,1.67,1.66,2.4,
August,,,,0.61,1.6,2.04,3.19,5.46,1.16,
September,,,,1.64,0.79,1.09,0.96,1.9,2.67,
October,,,1.56,4.01,2.23,1.92,2.63,3.67,1.6,
November,,,1.71,2.46,2.5,2.87,3.64,1.25,1.7,
December,,,3.36,0.96,5.13,3.96,2.74,1,2.25,
Total,,,,23.45,24.8,24.59,29.46,26.07,21.45,
