"SUNNINGDALE THE CAMP",,,,,,,,,,,,
Grid ref,SU942650,Long,-0.647962,Lat,51.376250,,,,,,,
Station no,RR4447,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.43,1.51,0.68,1.91,1.95,0.82,3.37,0.62,1.59,0.85,,
February,2.84,1.71,0.79,0.88,3.11,0.82,1.62,1.38,1.03,0.42,,
March,0.93,1.60,1.37,1.96,1.30,3.69,1.59,1.06,2.82,3.40,,
April,0.54,1.50,0.75,1.92,1.24,1.26,0.49,2.90,3.50,2.35,,
May,0.90,0.47,2.24,2.90,2.67,0.98,1.78,1.37,1.46,1.31,,
June,2.07,0.52,3.05,5.96,0.95,4.12,2.82,2.81,1.14,3.99,,
July,0.67,2.82,1.26,4.20,2.57,0.67,0.36,1.48,1.96,2.61,,
August,1.91,1.15,3.00,3.51,1.04,2.92,0.78,2.38,2.79,2.05,,
September,0.42,1.29,1.77,1.98,1.95,1.76,1.32,0.68,1.45,3.11,,
October,1.61,1.75,1.24,7.11,1.91,1.19,4.51,4.58,2.38,4.57,,
November,1.92,0.31,2.09,2.59,1.82,2.72,3.58,2.12,0.84,0.53,,
December,2.18,2.61,1.21,2.22,2.50,0.94,2.84,3.20,2.11,2.28,,
Total,18.42,17.24,19.45,37.14,23.01,21.89,25.06,24.58,23.07,27.47,,
Calc annual,18.42,17.24,19.45,37.14,23.01,21.89,25.06,24.58,23.07,27.47,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
