CUCKFIELD-BORDE-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ322265,Long,-0.11643379,Lat,51.022681,Elevation,270,ft,,,,,,,,,,,,
Station no,RR6725,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.5,1.15,1.62,2.82,3.22,2.13,4.58,3.38,1.04,1.28,3.53,2.95,0.59,,,,,,,
February,3.39,3.11,1.69,4.56,1.94,4.05,0.55,0.75,1.39,2.64,0.92,0.04,1.37,,,,,,,
March,1.15,2.91,1.34,0.71,1.96,2.31,2.69,1.66,3.72,2.39,2.06,1.94,1.23,,,,,,,
April,1.96,0.76,3.09,1.46,1.25,1.17,2.69,1.63,1.18,2.38,2.89,0.37,0.71,,,,,,,
May,0.37,0.91,1.34,2.53,0.64,2.82,4.75,1.96,2.76,1.45,1.71,2.5,1.02,,,,,,,
June,2.84,2.7,2.41,1.74,1.88,0.87,0.83,0.6,3.91,0.23,2.86,1.51,3.25,,,,,,,
July,4.18,1.62,3.86,2.24,1.97,0.33,2.93,0.79,5.03,3.75,3.72,2.99,2.57,,,,,,,
August,1.26,4.63,1.87,1.11,0.88,1.25,2.69,3.4,2.54,3.42,3.28,5.83,3.01,,,,,,,
September,4.84,3.11,2.44,4.05,4.04,4.88,1.66,3.77,1.32,1.23,0.82,1.53,2.66,,,,,,,
October,8.23,2.4,6.86,3.07,1.35,4.33,3.47,1.36,1.87,6.61,1.51,7.83,5.24,,,,,,,
November,3.72,4.07,4.18,4.41,1.14,3.57,3.59,5.73,4.97,1.4,2.94,3.75,3.8,,,,,,,
December,3.71,3.51,2.72,1.08,3.78,1.36,5.29,2.32,2.05,1.64,0.56,4.12,2.6,,,,,,,
Total,36.15,30.88,33.42,29.78,24.05,29.07,35.72,27.35,31.78,28.42,26.8,35.36,28.05,,,,,,,
