GATESHEAD EIGHTON COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ276585,Long,-1.57093,Lat,54.920438,Elevation,515,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,2.48,1.85,1.59,1.4,2.46,1.07,1.32,2.69,0.75,3.69,3.14,1.49,0.73,1.28,0.56,1.47,2,1.48,3.68,1.4,1.13,1.17,1.99,1,0.99,1.79,1.88,4.24,1.03,1.98,1.13,2.89,2.97,1.75,0.79,2.47,,,,,,
February,,,,,,,,,1.06,1.43,0.96,2.13,2.23,1.97,1.06,1.61,2.45,1.87,1.03,2.71,1.65,3.94,1.06,1.52,1.28,0.79,1.08,0.39,1.26,1.14,1.59,0.01,2.29,2.45,2.27,1.44,0.75,1.44,0.93,0.85,5.71,1.82,1.27,1.25,,,,,,
March,,,,,,,,,1.17,2.39,1.85,0.65,3.38,2.46,1.1,0.75,2.38,2.9,1.04,1.33,1.61,4.47,1.35,1.76,1.95,2.03,1.95,1.67,4.71,2.68,1.89,2.27,1.39,0.59,0.73,2.02,1.67,2.81,1.47,1.71,1.84,1.98,0.84,1.27,,,,,,
April,,,,,,,,,3.5,2.99,0.65,3.17,2.79,1.24,0.86,1.05,3.72,4.92,2.13,2.42,2.36,1.11,3.29,1.32,2.32,1.92,1.58,1.07,1.96,2.84,0.76,1.73,1.35,0.57,1.01,1.44,0.76,1.44,2.29,2.96,1.17,1.05,1.38,1.66,,,,,,
May,,,,,,,,,0.85,3.38,1.3,1.25,1.91,3.61,3.25,1.17,1.26,2.58,3.16,1.74,1.52,1.53,1.66,2.5,0.69,4.15,2.85,1.75,0.58,1.41,2.01,1.46,2.68,1.89,2.82,0.92,0.92,0.99,2.13,3.81,1.51,2.25,2.58,2.67,,,,,,
June,,,,,,,,,0.27,1.3,1.51,3.31,2.39,1.56,0.78,2.14,1.79,2.21,2.17,3.54,1.81,2.26,3.1,3.12,1.25,1.25,1.21,0.33,2.05,0.26,3.58,0.4,3.21,1.06,3.47,3.08,2.39,2.59,1.73,1.42,4.06,1.27,2.41,2.84,,,,,,
July,,,,,,,,,0.63,1.03,0.72,3.91,3.59,2.34,2.67,5.28,2.63,3.57,0.3,4.24,4.33,3.47,3.06,3.95,4.07,1.32,5.56,0.82,6.1,2.98,1.66,5.57,1.61,4.85,2.66,4.82,3.35,1.16,0.57,3.59,1.97,3.27,3.21,4.12,,,,,,
August,,,,,,,,,2.1,1.21,2.48,1.16,3.48,2.96,2.13,2.99,1.62,6.78,6.06,3.12,1.26,6.02,3.08,1.91,0.81,3.82,1.73,2.49,1.76,4.56,5.81,4.97,3.44,2.84,3.09,4.01,2.13,3.07,1.79,0.62,6.61,2.5,1.94,2,,,,,,
September,,,,,,,,,4.51,3.53,0.86,4.86,4.26,1.62,1.92,2.64,3.81,1.25,1.63,0.74,3.84,4.56,2.04,4.53,1.34,2.52,0.98,5.53,1.7,1.36,2.41,2.77,2.67,1.77,1.16,0.47,2.59,2.78,0.28,2.83,0.77,1.13,0.66,2.61,,,,,,
October,,,,,,,,,1.96,2.33,4.63,2.48,5.15,2.71,1.53,5.56,1.61,2.68,4.18,0.87,5.8,3.59,3.85,1.68,1.53,4.69,5.68,2.25,0.62,4.88,1.89,2.06,5.28,0.75,4.67,4.58,5.24,1.59,4.74,2.1,6.09,1.33,2.62,7.66,,,,,,
